"",BBK01.OEAH30V,BBK01.OEAH30V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:56,
2002-01,3.268,
2002-04,3.449,
2002-07,3.523,
2002-10,3.867,
2003-01,3.375,
2003-04,3.634,
2003-07,3.724,
2003-10,4.649,
2004-01,4.866,
2004-04,5.262,
2004-07,5.802,
2004-10,5.155,
2005-01,4.827,
2005-04,5.457,
2005-07,6.915,
2005-10,5.847,
2006-01,5.226,
2006-04,5.420,
2006-07,5.473,
2006-10,6.051,
2007-01,5.743,
2007-04,5.601,
2007-07,5.616,
2007-10,6.137,
2008-01,6.062,
2008-04,5.711,
2008-07,6.181,
2008-10,5.897,
2009-01,7.777,
2009-04,8.030,
2009-07,8.758,
2009-10,8.306,
2010-01,8.398,
2010-04,8.242,
2010-07,8.226,
2010-10,8.671,
2011-01,8.193,
2011-04,8.195,
2011-07,8.365,
2011-10,8.239,
2012-01,8.124,
2012-04,7.837,
2012-07,8.441,
2012-10,8.749,
2013-01,8.510,
2013-04,8.655,
2013-07,9.684,
2013-10,9.659,
2014-01,9.782,
2014-04,9.733,
2014-07,10.331,
