"",BBFB1.M.N.DE.W1.S1.S1.T.B.SG._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SG._Z._Z._Z._T._X.N_FLAGS
"",Current account / Financial services / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:33,
1991-01,56.281,
1991-02,67.978,
1991-03,73.324,
1991-04,87.415,
1991-05,108.167,
1991-06,87.182,
1991-07,98.860,
1991-08,63.951,
1991-09,52.070,
1991-10,98.545,
1991-11,108.839,
1991-12,115.983,
1992-01,70.404,
1992-02,137.578,
1992-03,55.715,
1992-04,71.357,
1992-05,43.182,
1992-06,100.569,
1992-07,79.671,
1992-08,66.087,
1992-09,45.394,
1992-10,152.704,
1992-11,138.099,
1992-12,124.749,
1993-01,172.931,
1993-02,228.066,
1993-03,216.014,
1993-04,193.511,
1993-05,150.585,
1993-06,86.240,
1993-07,133.497,
1993-08,120.813,
1993-09,172.812,
1993-10,222.496,
1993-11,154.996,
1993-12,167.196,
1994-01,289.226,
1994-02,218.501,
1994-03,182.663,
1994-04,200.337,
1994-05,143.171,
1994-06,172.375,
1994-07,190.561,
1994-08,160.335,
1994-09,168.629,
1994-10,147.016,
1994-11,203.306,
1994-12,141.372,
1995-01,246.162,
1995-02,223.522,
1995-03,195.768,
1995-04,189.536,
1995-05,288.520,
1995-06,257.741,
1995-07,296.047,
1995-08,233.494,
1995-09,210.963,
1995-10,350.831,
1995-11,314.623,
1995-12,342.551,
1996-01,373.753,
1996-02,417.237,
1996-03,270.632,
1996-04,326.429,
1996-05,338.319,
1996-06,265.276,
1996-07,321.793,
1996-08,291.945,
1996-09,308.001,
1996-10,402.679,
1996-11,348.761,
1996-12,333.367,
1997-01,408.036,
1997-02,359.726,
1997-03,377.381,
1997-04,386.160,
1997-05,368.378,
1997-06,373.770,
1997-07,536.679,
1997-08,389.328,
1997-09,322.695,
1997-10,377.354,
1997-11,311.950,
1997-12,307.420,
1998-01,431.837,
1998-02,430.487,
1998-03,453.929,
1998-04,593.889,
1998-05,344.316,
1998-06,388.558,
1998-07,429.206,
1998-08,421.809,
1998-09,351.400,
1998-10,432.048,
1998-11,365.357,
1998-12,512.519,
1999-01,518.311,
1999-02,503.227,
1999-03,639.824,
1999-04,687.139,
1999-05,725.765,
1999-06,521.442,
1999-07,546.010,
1999-08,929.947,
1999-09,726.914,
1999-10,500.463,
1999-11,370.127,
1999-12,460.213,
2000-01,554.428,
2000-02,625.478,
2000-03,596.332,
2000-04,897.579,
2000-05,388.294,
2000-06,542.903,
2000-07,537.676,
2000-08,390.040,
2000-09,396.685,
2000-10,421.486,
2000-11,457.752,
2000-12,425.923,
2001-01,471.844,
2001-02,563.939,
2001-03,371.292,
2001-04,489.437,
2001-05,721.391,
2001-06,558.367,
2001-07,622.053,
2001-08,652.389,
2001-09,606.180,
2001-10,776.081,
2001-11,826.806,
2001-12,809.619,
2002-01,763.095,
2002-02,757.708,
2002-03,833.788,
2002-04,778.523,
2002-05,733.973,
2002-06,707.144,
2002-07,801.530,
2002-08,694.723,
2002-09,776.619,
2002-10,919.512,
2002-11,780.644,
2002-12,749.985,
2003-01,439.728,
2003-02,406.279,
2003-03,408.642,
2003-04,370.281,
2003-05,431.396,
2003-06,461.187,
2003-07,421.189,
2003-08,433.082,
2003-09,343.162,
2003-10,376.834,
2003-11,463.264,
2003-12,451.465,
2004-01,390.682,
2004-02,444.154,
2004-03,456.700,
2004-04,490.521,
2004-05,345.708,
2004-06,439.910,
2004-07,482.363,
2004-08,476.313,
2004-09,511.159,
2004-10,453.546,
2004-11,444.449,
2004-12,572.141,
2005-01,559.261,
2005-02,480.258,
2005-03,596.949,
2005-04,604.907,
2005-05,542.047,
2005-06,598.421,
2005-07,394.022,
2005-08,522.721,
2005-09,618.198,
2005-10,573.927,
2005-11,604.763,
2005-12,566.833,
2006-01,625.321,
2006-02,624.079,
2006-03,554.472,
2006-04,456.161,
2006-05,725.227,
2006-06,500.589,
2006-07,515.304,
2006-08,535.899,
2006-09,619.178,
2006-10,588.704,
2006-11,512.474,
2006-12,790.529,
2007-01,353.908,
2007-02,389.483,
2007-03,397.267,
2007-04,374.435,
2007-05,439.746,
2007-06,553.179,
2007-07,452.631,
2007-08,416.647,
2007-09,415.162,
2007-10,447.628,
2007-11,313.910,
2007-12,807.726,
2008-01,729.481,
2008-02,558.903,
2008-03,441.417,
2008-04,619.459,
2008-05,548.841,
2008-06,479.620,
2008-07,644.700,
2008-08,634.309,
2008-09,706.286,
2008-10,1106.546,
2008-11,1002.463,
2008-12,1086.723,
2009-01,701.906,
2009-02,809.966,
2009-03,915.686,
2009-04,711.527,
2009-05,528.277,
2009-06,421.175,
2009-07,642.521,
2009-08,645.438,
2009-09,594.765,
2009-10,728.442,
2009-11,649.508,
