"",BBK01.OEXK03J,BBK01.OEXK03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:11,
2002-01,0.125,
2002-04,0.126,
2002-07,0.129,
2002-10,0.166,
2003-01,0.132,
2003-04,0.133,
2003-07,0.120,
2003-10,0.123,
2004-01,0.131,
2004-04,0.139,
2004-07,0.139,
2004-10,0.133,
2005-01,0.132,
2005-04,0.111,
2005-07,0.077,
2005-10,0.083,
2006-01,0.078,
2006-04,0.079,
2006-07,0.076,
2006-10,0.087,
2007-01,0.091,
2007-04,0.092,
2007-07,0.123,
2007-10,0.129,
2008-01,0.131,
2008-04,0.142,
2008-07,0.159,
2008-10,0.163,
2009-01,0.140,
2009-04,0.118,
2009-07,0.102,
2009-10,0.101,
2010-01,0.100,
2010-04,0.096,
2010-07,0.097,
2010-10,0.089,
2011-01,0.094,
2011-04,0.093,
2011-07,0.093,
2011-10,0.085,
2012-01,0.086,
2012-04,0.082,
2012-07,0.075,
2012-10,0.063,
2013-01,0.062,
2013-04,0.056,
2013-07,0.055,
2013-10,0.056,
2014-01,0.055,
2014-04,0.054,
2014-07,0.051,
