"",BBFB1.Q.N.DE.AU.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:50,
1991-01,355.293,
1991-04,389.720,
1991-07,413.380,
1991-10,350.545,
1992-01,320.533,
1992-04,417.770,
1992-07,398.089,
1992-10,370.223,
1993-01,326.534,
1993-04,310.793,
1993-07,388.662,
1993-10,447.060,
1994-01,319.387,
1994-04,530.869,
1994-07,546.017,
1994-10,610.366,
1995-01,455.531,
1995-04,389.420,
1995-07,424.766,
1995-10,392.371,
1996-01,449.285,
1996-04,670.216,
1996-07,684.592,
1996-10,624.693,
1997-01,493.573,
1997-04,677.394,
1997-07,744.434,
1997-10,671.697,
1998-01,516.321,
1998-04,682.254,
1998-07,671.842,
1998-10,591.267,
1999-01,499.893,
1999-04,541.359,
1999-07,656.969,
1999-10,735.310,
2000-01,524.168,
2000-04,595.108,
2000-07,551.941,
2000-10,585.477,
2001-01,636.722,
2001-04,777.282,
2001-07,843.534,
2001-10,1196.908,
2002-01,600.587,
2002-04,592.965,
2002-07,870.359,
2002-10,836.870,
2003-01,660.472,
2003-04,791.166,
2003-07,1039.201,
2003-10,820.990,
2004-01,814.999,
2004-04,1120.008,
2004-07,1051.681,
2004-10,988.047,
2005-01,1091.893,
2005-04,1167.286,
2005-07,1300.397,
2005-10,1135.945,
2006-01,866.946,
2006-04,955.256,
2006-07,1205.294,
2006-10,1188.901,
2007-01,957.351,
2007-04,1139.595,
2007-07,1503.977,
2007-10,1441.816,
2008-01,1581.312,
2008-04,1508.768,
2008-07,1421.909,
2008-10,1558.616,
2009-01,759.928,
2009-04,1115.210,
2009-07,1577.733,
2009-10,1626.656,
2010-01,1757.232,
2010-04,1690.271,
2010-07,1789.942,
2010-10,1654.422,
2011-01,1267.002,
2011-04,1635.434,
2011-07,1693.351,
2011-10,1548.640,
2012-01,1631.996,
2012-04,1708.530,
2012-07,2012.360,
2012-10,2379.846,
2013-01,1444.530,
2013-04,1617.599,
2013-07,2001.896,
2013-10,1904.228,
2014-01,1463.775,Provisional value
2014-04,1734.938,Provisional value
2014-07,2067.248,Provisional value
