"",BBEX3.M.HRK.EUR.CA.AC.A01,BBEX3.M.HRK.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Croatia / EUR 1 = HRK ... (middle),
unit,HRK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:50,
1999-01,7.4265000,
1999-02,7.5848000,
1999-03,7.6070010,
1999-04,7.6052455,
1999-05,7.6092515,
1999-06,7.6160020,
1999-07,7.6160020,
1999-08,7.6169795,
1999-09,7.6560965,
1999-10,7.6682230,
1999-11,7.6829890,
1999-12,7.7010805,
2000-01,7.7392190,
2000-02,7.7527890,
2000-03,7.7541325,
2000-04,7.7343200,
2000-05,7.7103710,
2000-06,7.6643600,
2000-07,7.6271205,
2000-08,7.5905760,
2000-09,7.5435385,
2000-10,7.5700400,
2000-11,7.6003555,
2000-12,7.6257810,
2001-01,7.7147715,
2001-02,7.7382415,
2001-03,7.7136760,
2001-04,7.5759075,
2001-05,7.3364185,
2001-06,7.3640450,
2001-07,7.2175000,
2001-08,7.6500000,
2001-09,7.5890000,
2001-10,7.4885000,
2001-11,7.4715000,
2001-12,7.4016050,
2002-01,7.5997200,
2002-02,7.4760000,
2002-03,7.4250000,
2002-04,7.4165000,
2002-05,7.3990000,
2002-06,7.3445000,
2002-07,7.4365000,
2002-08,7.4100000,
2002-09,7.3722000,
2002-10,7.5265000,
2002-11,7.4585000,
2002-12,7.4690000,
2003-01,7.5855000,
2003-02,7.6520000,
2003-03,7.7299950,
2003-04,7.6040000,
2003-05,7.5905000,
2003-06,7.5411700,
2003-07,7.5762500,
2003-08,7.5035000,
2003-09,7.6061500,
2003-10,7.6347500,
2003-11,7.7108000,
2003-12,7.6983000,
2004-01,7.7250000,
2004-02,7.6675000,
2004-03,7.4675000,
2004-04,7.5625000,
2004-05,7.4347500,
2004-06,7.4170000,
2004-07,7.4665000,
2004-08,7.4475000,
2004-09,7.6220000,
2004-10,7.5670000,
2004-11,7.6730000,
2004-12,7.7365000,
2005-01,7.6198500,
2005-02,7.5775500,
2005-03,7.5040000,
2005-04,7.3850000,
2005-05,7.3170000,
2005-06,7.3160000,
2005-07,7.2960000,
2005-08,7.4150000,
2005-09,7.4440000,
2005-10,7.3875000,
2005-11,7.4045000,
2005-12,7.3790000,
2006-01,7.3605000,
2006-02,7.3075000,
2006-03,7.3300000,
2006-04,7.2875000,
2006-05,7.2625000,
2006-06,7.2475000,
2006-07,7.2525000,
2006-08,7.3105000,
2006-09,7.3800000,
2006-10,7.3600000,
2006-11,7.3525000,
2006-12,7.3525000,
2007-01,7.3725000,
2007-02,7.3475000,
2007-03,7.4100000,
2007-04,7.3700000,
2007-05,7.3100000,
2007-06,7.3000000,
2007-07,7.2900000,
2007-08,7.3200000,
2007-09,7.2850000,
2007-10,7.3512500,
2007-11,7.3200000,
2007-12,7.3300000,
2008-01,7.2350000,
2008-02,7.2650000,
2008-03,7.2650000,
2008-04,7.2750000,
2008-05,7.2550000,
2008-06,7.2400000,
2008-07,7.2300000,
2008-08,7.1500000,
2008-09,7.1100000,
2008-10,7.1900000,
2008-11,7.1400000,
2008-12,7.3400000,
2009-01,7.3850000,
2009-02,7.4100000,
2009-03,7.4650000,
2009-04,7.4250000,
2009-05,7.3500000,
2009-06,7.2750000,
2009-07,7.3550000,
2009-08,7.3450000,
2009-09,7.2950000,
2009-10,7.2250000,
2009-11,7.3170000,
2009-12,7.3060000,
2010-01,7.3130000,
2010-02,7.2700000,
2010-03,7.2650000,
2010-04,7.2500000,
2010-05,7.2650000,
2010-06,7.2000000,
2010-07,7.2500000,
2010-08,7.2800000,
2010-09,7.2950000,
2010-10,7.3392730,
2010-11,7.4203250,
2010-12,7.3851730,
2011-01,7.4072030,
2011-02,7.4148200,
2011-03,7.3828070,
2011-04,7.3474150,
2011-05,7.4318950,
2011-06,7.3739460,
2011-07,7.4520710,
2011-08,7.4708580,
2011-09,7.4920230,
2011-10,7.4853290,
2011-11,7.4985860,
2011-12,7.5304200,
2012-01,7.5648000,
2012-02,7.5766990,
2012-03,7.5069170,
2012-04,7.5314400,
2012-05,7.5595680,
2012-06,7.5165600,
2012-07,7.5183030,
2012-08,7.4788830,
2012-09,7.4497460,
2012-10,7.5331320,
2012-11,7.5506620,
2012-12,7.5456240,
2013-01,7.5819460,
2013-02,7.5856610,
2013-03,7.5867270,
2013-04,7.6006780,
2013-05,7.5562300,
2013-06,7.4513440,
2013-07,7.4900710,
2013-08,7.5538910,
2013-09,7.6115930,
2013-10,7.6198590,
2013-11,7.6308150,
2013-12,7.6376430,
2014-01,7.6449160,
2014-02,7.6582680,
2014-03,7.6583940,
2014-04,7.6041920,
2014-05,7.5889350,
2014-06,7.5713710,
2014-07,7.6365040,
2014-08,7.6271330,
2014-09,7.6262670,
2014-10,7.6626220,
2014-11,7.6731280,
2014-12,7.6614710,
2015-01,7.6940640,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since October 2010: Croatian National Bank, Zagreb. 1999 - September 2010: Zagrebacka Banka, Zagreb.",
