"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA.F.F7.T._T.T.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net financial derivates and employee stock options / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:04,
1991-01,31.527,
1991-02,12.169,
1991-03,20.956,
1991-04,-67.634,
1991-05,-146.302,
1991-06,-451.879,
1991-07,355.547,
1991-08,-27.697,
1991-09,-84.061,
1991-10,-27.965,
1991-11,-21.612,
1991-12,86.393,
1992-01,-289.882,
1992-02,207.380,
1992-03,-14.896,
1992-04,141.378,
1992-05,143.439,
1992-06,-73.016,
1992-07,71.614,
1992-08,-293.972,
1992-09,16.866,
1992-10,211.455,
1992-11,140.754,
1992-12,-25.636,
1993-01,-184.315,
1993-02,211.967,
1993-03,-302.392,
1993-04,377.507,
1993-05,-165.570,
1993-06,-34.179,
1993-07,109.617,
1993-08,261.047,
1993-09,549.348,
1993-10,114.777,
1993-11,-802.734,
1993-12,432.566,
1994-01,-393.308,
1994-02,-355.735,
1994-03,361.952,
1994-04,-540.288,
1994-05,-419.823,
1994-06,-359.687,
1994-07,48.165,
1994-08,238.196,
1994-09,-82.803,
1994-10,243.444,
1994-11,323.111,
1994-12,168.533,
1995-01,-51.921,
1995-02,-63.344,
1995-03,102.787,
1995-04,-409.827,
1995-05,-224.288,
1995-06,135.829,
1995-07,154.596,
1995-08,-65.493,
1995-09,26.700,
1995-10,268.123,
1995-11,496.941,
1995-12,45.668,
1996-01,334.122,
1996-02,-126.695,
1996-03,-100.364,
1996-04,-51.701,
1996-05,-53.024,
1996-06,-355.229,
1996-07,-297.167,
1996-08,427.401,
1996-09,554.101,
1996-10,1070.670,
1996-11,1758.920,
1996-12,1308.187,
1997-01,881.761,
1997-02,782.226,
1997-03,748.420,
1997-04,-247.651,
1997-05,388.684,
1997-06,745.662,
1997-07,2225.680,
1997-08,1219.340,
1997-09,418.483,
1997-10,1457.776,
1997-11,-5.146,
1997-12,-852.691,
1998-01,1496.997,
1998-02,567.130,
1998-03,10.659,
1998-04,795.921,
1998-05,2479.685,
1998-06,1503.214,
1998-07,68.259,
1998-08,-1542.079,
1998-09,-7062.322,
1998-10,7916.267,
1998-11,1307.622,
1998-12,-711.262,
1999-01,1265.449,
1999-02,-373.143,
1999-03,-2450.907,
1999-04,-1383.656,
1999-05,2464.231,
1999-06,-287.713,
1999-07,-264.161,
1999-08,-1684.851,
1999-09,-2198.624,
1999-10,3887.412,
1999-11,910.771,
1999-12,2293.072,
2000-01,1526.656,
2000-02,1002.259,
2000-03,1077.590,
2000-04,-1007.070,
2000-05,642.480,
2000-06,101.201,
2000-07,1554.404,
2000-08,2461.836,
2000-09,1580.566,
2000-10,1053.131,
2000-11,2793.396,
2000-12,-323.416,
2001-01,399.058,
2001-02,-99.278,
2001-03,-4034.505,
2001-04,-7408.023,
2001-05,-2847.089,
2001-06,1767.953,
2001-07,3554.737,
2001-08,1745.156,
2001-09,-1045.665,
2001-10,110.299,
2001-11,1277.997,
2001-12,-250.320,
2002-01,-868.561,
2002-02,-1128.310,
2002-03,319.243,
2002-04,-1172.714,
2002-05,464.818,
2002-06,-697.732,
2002-07,4579.942,
2002-08,1836.927,
2002-09,-2582.167,
2002-10,1282.283,
2002-11,-919.155,
2002-12,-618.161,
2003-01,563.711,
2003-02,-1470.313,
2003-03,-1416.607,
2003-04,3827.985,
2003-05,409.960,
2003-06,-1091.600,
2003-07,-762.310,
2003-08,-284.630,
2003-09,1523.342,
2003-10,-1537.094,
2003-11,-129.868,
2003-12,1880.616,
2004-01,1607.847,
2004-02,962.393,
2004-03,-1256.491,
2004-04,1159.236,
2004-05,1175.928,
2004-06,536.377,
2004-07,-1346.885,
2004-08,1579.224,
2004-09,-2096.170,
2004-10,3462.213,
2004-11,605.233,
2004-12,188.770,
2005-01,3102.650,
2005-02,2019.894,
2005-03,1034.445,
2005-04,-65.184,
2005-05,3301.449,
2005-06,239.476,
2005-07,-1357.478,
2005-08,-2785.857,
2005-09,-725.232,
2005-10,3143.915,
2005-11,996.657,
2005-12,-943.504,
2006-01,4186.605,
2006-02,715.950,
2006-03,20.920,
2006-04,1293.637,
2006-05,396.648,
2006-06,-4830.104,
2006-07,831.528,
2006-08,1032.065,
2006-09,-938.187,
2006-10,1860.596,
2006-11,2064.513,
2006-12,-2130.471,
2007-01,3126.303,
2007-02,3959.861,
2007-03,1225.768,
2007-04,5991.179,
2007-05,2963.622,
2007-06,3105.812,
2007-07,9577.323,
2007-08,15122.429,
2007-09,7164.343,
2007-10,11606.979,
2007-11,9337.682,
2007-12,10388.519,
2008-01,10693.299,
2008-02,8358.864,
2008-03,-929.317,
2008-04,9253.075,
2008-05,6663.786,
2008-06,1229.972,
2008-07,5569.462,
2008-08,1885.586,
2008-09,-6836.745,
2008-10,-3985.103,
2008-11,2572.801,
2008-12,-6824.490,
2009-01,-3153.601,
2009-02,1187.821,
2009-03,-15130.675,
2009-04,-904.160,
2009-05,5721.978,
2009-06,-4191.167,
2009-07,-508.841,
2009-08,6704.170,
2009-09,1373.686,
2009-10,1053.915,
2009-11,2363.904,
2009-12,-1359.801,
2010-01,509.854,
2010-02,-773.802,
2010-03,2759.000,
2010-04,2086.222,
2010-05,3611.533,
2010-06,-663.660,
2010-07,351.756,
2010-08,2016.427,
2010-09,4212.261,
2010-10,-840.889,
2010-11,4247.835,
2010-12,-3977.290,
2011-01,-589.561,
2011-02,2108.328,
2011-03,5179.795,
2011-04,-2158.520,
2011-05,7042.170,
2011-06,141.808,
2011-07,297.005,
2011-08,4078.781,
2011-09,4338.708,
