"",BBFN1.M.DE.N.1.A.W1.S1P.H1.T.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H1.T.N000.Z06.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:35,
1974-12,4.459,
1975-01,4.703,
1975-02,4.501,
1975-03,4.749,
1975-04,4.698,
1975-05,4.674,
1975-06,4.688,
1975-07,4.743,
1975-08,4.752,
1975-09,4.948,
1975-10,5.219,
1975-11,5.357,
1975-12,5.404,
1976-01,5.379,
1976-02,5.340,
1976-03,5.372,
1976-04,5.585,
1976-05,5.842,
1976-06,5.934,
1976-07,6.097,
1976-08,5.999,
1976-09,6.015,
1976-10,6.357,
1976-11,6.460,
1976-12,6.341,
1977-01,6.423,
1977-02,6.645,
1977-03,6.977,
1977-04,7.303,
1977-05,7.662,
1977-06,7.632,
1977-07,7.417,
1977-08,7.490,
1977-09,7.381,
1977-10,7.948,
1977-11,7.784,
1977-12,7.711,
1978-01,7.767,
1978-02,7.854,
1978-03,8.188,
1978-04,8.083,
1978-05,8.472,
1978-06,8.288,
1978-07,8.279,
1978-08,8.331,
1978-09,8.729,
1978-10,8.840,
1978-11,8.911,
1978-12,8.460,
1979-01,8.434,
1979-02,8.661,
1979-03,9.161,
1979-04,9.242,
1979-05,9.652,
1979-06,9.890,
1979-07,9.737,
1979-08,9.499,
1979-09,9.632,
1979-10,10.177,
1979-11,10.420,
1979-12,10.039,
1980-01,10.529,
1980-02,11.045,
1980-03,11.263,
1980-04,11.340,
1980-05,11.356,
1980-06,11.230,
1980-07,10.854,
1980-08,10.645,
1980-09,10.770,
1980-10,11.077,
1980-11,11.739,
1980-12,11.263,
1981-01,11.514,
1981-02,12.074,
1981-03,12.326,
1981-04,12.839,
1981-05,12.930,
1981-06,13.347,
1981-07,13.083,
1981-08,13.246,
1981-09,13.927,
1981-10,14.081,
1981-11,13.868,
1981-12,13.562,
1982-01,13.773,
1982-02,14.334,
1982-03,14.606,
1982-04,14.854,
1982-05,15.269,
1982-06,14.740,
1982-07,14.329,
1982-08,14.008,
1982-09,14.267,
1982-10,14.429,
1982-11,14.496,
1982-12,13.194,
1983-01,13.398,
1983-02,13.728,
1983-03,14.027,
1983-04,14.033,
1983-05,14.093,
1983-06,14.173,
1983-07,14.202,
1983-08,14.199,
1983-09,14.655,
1983-10,14.867,
1983-11,15.249,
1983-12,15.156,
1984-01,15.577,
1984-02,15.812,
1984-03,16.054,
1984-04,16.237,
1984-05,16.200,
1984-06,16.227,
1984-07,15.859,
1984-08,15.581,
1984-09,16.159,
1984-10,16.547,
1984-11,17.000,
1984-12,16.800,
1985-01,16.694,
1985-02,16.802,
1985-03,16.823,
1985-04,16.884,
1985-05,16.820,
1985-06,16.668,
1985-07,16.149,
1985-08,15.393,
1985-09,15.617,
1985-10,16.094,
1985-11,16.179,
1985-12,15.993,
1986-01,15.565,
1986-02,15.622,
1986-03,15.849,
1986-04,15.877,
1986-05,16.001,
1986-06,16.016,
1986-07,15.441,
1986-08,14.829,
1986-09,14.881,
1986-10,14.969,
1986-11,15.361,
1986-12,14.936,
1987-01,14.186,
1987-02,14.228,
1987-03,14.447,
1987-04,14.631,
1987-05,14.939,
1987-06,15.150,
1987-07,14.699,
1987-08,14.441,
1987-09,14.940,
1987-10,15.052,
1987-11,15.283,
1987-12,14.706,
1988-01,14.856,
1988-02,15.079,
1988-03,15.572,
1988-04,16.045,
1988-05,16.019,
1988-06,16.483,
1988-07,16.723,
1988-08,16.553,
1988-09,16.945,
1988-10,17.100,
1988-11,17.321,
1988-12,17.266,
1989-01,17.301,
1989-02,17.702,
1989-03,17.992,
1989-04,18.142,
1989-05,18.319,
1989-06,18.644,
1989-07,17.909,
1989-08,17.477,
1989-09,17.898,
1989-10,18.229,
1989-11,18.215,
1989-12,17.349,
1990-01,17.054,
1990-02,17.350,
1990-03,17.675,
1990-04,17.960,
1990-05,18.069,
1990-06,18.326,
1990-07,19.595,
1990-08,19.426,
1990-09,19.858,
1990-10,20.229,
1990-11,20.203,
1990-12,19.760,
1991-01,19.517,
1991-02,19.521,
1991-03,19.732,
1991-04,20.410,
1991-05,20.070,
1991-06,20.277,
1991-07,20.134,
1991-08,19.682,
1991-09,20.416,
1991-10,20.606,
1991-11,20.650,
1991-12,19.706,
1992-01,19.777,
1992-02,20.230,
1992-03,20.849,
1992-04,20.996,
1992-05,20.912,
1992-06,20.766,
1992-07,20.416,
1992-08,19.719,
1992-09,19.864,
1992-10,20.272,
1992-11,20.259,
1992-12,20.076,
1993-01,19.259,
1993-02,20.049,
1993-03,20.745,
1993-04,20.810,
1993-05,20.753,
1993-06,21.172,
1993-07,20.792,
1993-08,20.497,
1993-09,20.820,
1993-10,20.980,
1993-11,21.194,
1993-12,21.316,
1994-01,21.687,
1994-02,22.628,
1994-03,22.903,
1994-04,23.513,
1994-05,23.823,
1994-06,24.061,
1994-07,24.335,
1994-08,24.674,
1994-09,25.673,
1994-10,24.155,
1994-11,24.710,
1994-12,24.854,
1995-01,25.635,
1995-02,26.079,
1995-03,27.186,
1995-04,26.870,
1995-05,27.281,
1995-06,27.556,
1995-07,27.208,
1995-08,26.514,
1995-09,26.662,
1995-10,26.367,
1995-11,26.645,
1995-12,26.210,
1996-01,25.853,
1996-02,26.660,
1996-03,27.245,
1996-04,27.767,
1996-05,27.882,
1996-06,28.215,
1996-07,27.895,
1996-08,27.011,
1996-09,28.374,
1996-10,28.412,
1996-11,29.338,
1996-12,28.924,
1997-01,29.291,
1997-02,29.835,
1997-03,31.200,
1997-04,31.807,
1997-05,31.880,
1997-06,32.709,
1997-07,32.507,
1997-08,31.599,
1997-09,32.886,
1997-10,33.908,
1997-11,34.510,
1997-12,33.597,
1998-01,33.809,
1998-02,35.529,
1998-03,36.219,
1998-04,37.095,
1998-05,36.767,
1998-06,36.141,
1998-07,35.983,
1998-08,34.331,
1998-09,35.706,
1998-10,36.163,
1998-11,35.718,
1998-12,34.078,
1999-01,29.821,
1999-02,28.179,
1999-03,28.793,
1999-04,27.634,
1999-05,28.728,
1999-06,28.912,
1999-07,29.146,
1999-08,29.674,
1999-09,30.191,
1999-10,30.935,
1999-11,31.921,
1999-12,31.697,
2000-01,32.120,
2000-02,32.995,
2000-03,35.124,
2000-04,36.089,
2000-05,35.218,
2000-06,35.512,
2000-07,35.695,
2000-08,35.996,
2000-09,37.629,
2000-10,38.045,
2000-11,38.568,
2000-12,35.848,
2001-01,35.312,
2001-02,34.804,
2001-03,35.061,
2001-04,35.492,
2001-05,35.728,
2001-06,37.591,
2001-07,35.844,
2001-08,35.189,
2001-09,36.302,
2001-10,36.367,
2001-11,35.371,
2001-12,34.514,
2002-01,32.701,
2002-02,31.773,
2002-03,32.190,
2002-04,33.136,
2002-05,33.155,
2002-06,33.263,
2002-07,33.410,
2002-08,32.592,
2002-09,33.550,
2002-10,33.596,
2002-11,33.856,
2002-12,32.405,
2003-01,32.371,
2003-02,31.870,
2003-03,31.930,
2003-04,32.264,
2003-05,30.617,
2003-06,31.456,
2003-07,31.491,
2003-08,31.008,
2003-09,31.061,
2003-10,31.161,
2003-11,30.673,
2003-12,30.413,
2004-01,29.498,
2004-02,29.546,
2004-03,31.306,
2004-04,31.385,
2004-05,31.207,
2004-06,32.143,
2004-07,31.947,
2004-08,31.238,
2004-09,32.678,
2004-10,33.583,
2004-11,33.655,
2004-12,31.142,
2005-01,30.601,
2005-02,30.870,
2005-03,32.464,
2005-04,32.430,
2005-05,32.651,
2005-06,34.618,
2005-07,35.481,
2005-08,35.437,
2005-09,37.626,
2005-10,38.019,
2005-11,37.940,
2005-12,38.082,
2006-01,38.565,
2006-02,37.933,
2006-03,39.164,
2006-04,38.412,
2006-05,37.647,
2006-06,38.888,
2006-07,38.277,
2006-08,37.295,
2006-09,38.784,
2006-10,39.130,
2006-11,39.535,
2006-12,38.420,
2007-01,38.128,
2007-02,38.136,
2007-03,39.630,
2007-04,38.279,
2007-05,38.060,
2007-06,39.026,
2007-07,38.082,
2007-08,37.602,
2007-09,39.651,
2007-10,39.715,
2007-11,39.415,
2007-12,37.573,
2008-01,36.511,
2008-02,37.054,
2008-03,38.537,
2008-04,38.632,
2008-05,39.096,
2008-06,40.431,
2008-07,40.549,
2008-08,39.373,
2008-09,39.149,
2008-10,39.848,
2008-11,39.613,
2008-12,36.767,
2009-01,35.147,
2009-02,34.195,
2009-03,34.222,
2009-04,32.776,
2009-05,33.042,
2009-06,33.906,
2009-07,34.109,
2009-08,33.289,
2009-09,33.809,
2009-10,34.287,
2009-11,34.765,
2009-12,33.933,
2010-01,33.350,
2010-02,35.041,
2010-03,37.737,
2010-04,38.300,
2010-05,39.970,
2010-06,41.333,
2010-07,40.420,
2010-08,39.122,
2010-09,40.917,
2010-10,41.141,
2010-11,41.556,
2010-12,40.676,
2011-01,40.417,
2011-02,42.038,
2011-03,42.860,
2011-04,42.834,
2011-05,42.927,
2011-06,43.541,
2011-07,43.901,
2011-08,42.467,
2011-09,44.731,
2011-10,47.051,
2011-11,46.466,
2011-12,45.924,
2012-01,46.406,
2012-02,47.684,
2012-03,49.449,
2012-04,49.291,
2012-05,49.950,
2012-06,52.350,
2012-07,52.535,
2012-08,51.565,
2012-09,51.199,
2012-10,51.310,
2012-11,52.431,
2012-12,46.240,
2013-01,44.988,
2013-02,46.045,
2013-03,47.784,
2013-04,47.063,
2013-05,45.456,
2013-06,47.160,
2013-07,43.173,
2013-08,43.351,
2013-09,44.677,
2013-10,44.669,
2013-11,49.217,
2013-12,47.862,
2014-01,48.128,
2014-02,48.140,
2014-03,49.724,
2014-04,49.294,
2014-05,48.742,
2014-06,51.031,
2014-07,51.273,
2014-08,50.298,
2014-09,53.790,
2014-10,54.609,
2014-11,54.091,
2014-12,54.552,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
