"",BBK01.OEBB07S,BBK01.OEBB07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:40,
2002-01,0.252,
2002-04,0.242,
2002-07,0.239,
2002-10,0.220,
2003-01,0.214,
2003-04,0.212,
2003-07,0.216,
2003-10,0.248,
2004-01,0.249,
2004-04,0.240,
2004-07,0.219,
2004-10,0.214,
2005-01,0.225,
2005-04,0.271,
2005-07,0.267,
2005-10,0.265,
2006-01,0.263,
2006-04,0.261,
2006-07,0.260,
2006-10,0.270,
2007-01,0.282,
2007-04,0.264,
2007-07,0.267,
2007-10,0.212,
2008-01,0.219,
2008-04,0.253,
2008-07,0.254,
2008-10,0.259,
2009-01,0.251,
2009-04,0.199,
2009-07,0.210,
2009-10,0.226,
2010-01,0.234,
2010-04,0.248,
2010-07,0.245,
2010-10,0.247,
2011-01,0.243,
2011-04,0.231,
2011-07,0.234,
2011-10,0.231,
2012-01,0.231,
2012-04,0.233,
2012-07,0.228,
2012-10,0.222,
2013-01,0.226,
2013-04,0.236,
2013-07,0.233,
2013-10,0.227,
2014-01,0.225,
2014-04,0.224,
2014-07,0.234,
