"",BBEX3.M.EGP.USD.CA.AB.A01,BBEX3.M.EGP.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Egypt / USD 1 = EGP ... (selling),
unit,EGP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:12,
1992-01,3.3379,
1992-02,3.3348,
1992-03,3.3368,
1992-04,3.3368,
1992-05,3.3388,
1992-06,3.3388,
1992-07,3.3317,
1992-08,3.3308,
1992-09,3.3358,
1992-10,3.3409,
1992-11,3.3429,
1992-12,3.3550,
1993-01,3.3550,
1993-02,3.3585,
1993-03,3.3570,
1993-04,3.3540,
1993-05,3.3558,
1993-06,3.3660,
1993-07,3.3670,
1993-08,3.3734,
1993-09,3.3755,
1993-10,3.3785,
1993-11,3.3805,
1993-12,3.3815,
1994-01,3.3825,
1994-02,3.3885,
1994-03,3.3880,
1994-04,3.3900,
1994-05,3.3940,
1994-06,3.3910,
1994-07,3.3900,
1994-08,3.3880,
1994-09,3.3890,
1994-10,3.3950,
1994-11,3.3971,
1994-12,3.3941,
1995-01,3.3961,
1995-02,3.3991,
1995-03,3.3991,
1995-04,3.3997,
1995-05,3.3999,
1995-06,3.3999,
1995-07,3.3969,
1995-08,3.3999,
1995-09,3.3959,
1995-10,3.3999,
1995-11,3.3969,
1995-12,3.3969,
1996-01,3.3979,
1996-02,3.3949,
1996-03,3.3979,
1996-04,3.3989,
1996-05,3.3959,
1996-06,3.3979,
1996-07,3.3979,
1996-08,3.3979,
1996-09,3.3999,
1996-10,3.3999,
1996-11,3.3979,
1996-12,3.3979,
1997-01,3.3989,
1997-02,3.3990,
1997-03,3.3995,
1997-04,3.3989,
1997-05,3.3989,
1997-06,3.3999,
1997-07,3.3989,
1997-08,3.3989,
1997-09,3.3999,
1997-10,3.3999,
1997-11,3.3994,
1997-12,3.3999,
1998-01,3.3999,
1998-02,3.3999,
1998-03,3.3999,
1998-04,3.3998,
1998-05,3.3999,
1998-06,3.3999,
1998-07,3.3999,
1998-08,3.3999,
1998-09,3.4040,
1998-10,3.4070,
1998-11,3.4099,
1998-12,3.4119,
1999-01,3.4119,
1999-02,3.4139,
1999-03,3.4139,
1999-04,3.4139,
1999-05,3.4179,
1999-06,3.4179,
1999-07,3.4179,
1999-08,3.4179,
1999-09,3.4179,
