"",BBK01.OEBB09G,BBK01.OEBB09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:35,
2002-01,23.454,
2002-04,25.620,
2002-07,25.592,
2002-10,24.930,
2003-01,23.976,
2003-04,24.088,
2003-07,23.332,
2003-10,23.885,
2004-01,23.354,
2004-04,23.610,
2004-07,22.542,
2004-10,22.919,
2005-01,15.922,
2005-04,16.889,
2005-07,11.812,
2005-10,11.450,
2006-01,12.060,
2006-04,12.773,
2006-07,12.423,
2006-10,11.867,
2007-01,12.386,
2007-04,12.877,
2007-07,13.221,
2007-10,13.322,
2008-01,14.534,
2008-04,15.242,
2008-07,15.470,
2008-10,15.728,
2009-01,17.708,
2009-04,21.276,
2009-07,20.747,
2009-10,20.352,
2010-01,20.545,
2010-04,20.941,
2010-07,20.542,
2010-10,21.055,
2011-01,20.697,
2011-04,21.360,
2011-07,21.537,
2011-10,21.926,
2012-01,22.270,
2012-04,22.982,
2012-07,22.637,
2012-10,22.458,
2013-01,22.518,
2013-04,22.966,
2013-07,22.540,
2013-10,23.115,
2014-01,23.890,
2014-04,24.064,
2014-07,23.910,
