"",BBK01.CEF7C0,BBK01.CEF7C0_FLAGS
"",Other accounts payable                                        debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:52,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.0,
2001-04,0.0,
2001-07,0.0,
2001-10,0.0,
2002-01,4.0,
2002-04,3.9,
2002-07,3.9,
2002-10,3.8,
2003-01,3.8,
2003-04,3.8,
2003-07,3.8,
2003-10,3.8,
2004-01,3.8,
2004-04,3.8,
2004-07,3.7,
2004-10,3.7,
2005-01,3.7,
2005-04,3.7,
2005-07,3.7,
2005-10,3.7,
2006-01,3.7,
2006-04,3.7,
2006-07,3.7,
2006-10,3.7,
2007-01,3.7,
2007-04,3.6,
2007-07,3.6,
2007-10,3.6,
2008-01,3.6,
2008-04,3.6,
2008-07,3.6,
2008-10,3.6,
2009-01,3.6,
2009-04,3.6,
2009-07,3.6,
2009-10,3.6,
2010-01,3.6,
2010-04,3.6,
2010-07,3.5,
2010-10,3.5,
2011-01,3.5,
2011-04,3.5,
2011-07,3.5,
2011-10,3.5,
2012-01,3.5,
2012-04,3.5,
2012-07,23.2,
2012-10,3.5,
2013-01,3.5,
2013-04,3.5,
2013-07,3.5,
2013-10,3.5,
2014-01,3.5,
2014-04,3.5,
2014-07,3.5,
