"",BBK01.OEAA24L,BBK01.OEAA24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:25,
2002-01,0.995,
2002-04,0.967,
2002-07,0.947,
2002-10,0.965,
2003-01,0.944,
2003-04,1.038,
2003-07,0.992,
2003-10,1.135,
2004-01,1.116,
2004-04,1.074,
2004-07,1.092,
2004-10,1.034,
2005-01,0.963,
2005-04,1.015,
2005-07,1.013,
2005-10,1.371,
2006-01,1.243,
2006-04,1.343,
2006-07,1.414,
2006-10,1.362,
2007-01,1.287,
2007-04,1.234,
2007-07,1.175,
2007-10,1.502,
2008-01,5.972,
2008-04,1.474,
2008-07,1.295,
2008-10,1.369,
2009-01,1.353,
2009-04,1.320,
2009-07,1.199,
2009-10,1.176,
2010-01,1.172,
2010-04,1.356,
2010-07,1.196,
2010-10,1.174,
2011-01,1.102,
2011-04,1.099,
2011-07,1.038,
2011-10,1.019,
2012-01,0.849,
2012-04,0.804,
2012-07,0.893,
2012-10,0.883,
2013-01,0.835,
2013-04,0.817,
2013-07,0.765,
2013-10,0.769,
2014-01,0.706,
2014-04,0.716,
2014-07,0.746,
