"",BBK01.OEBB11Q,BBK01.OEBB11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:18,
2002-01,0.346,
2002-04,0.319,
2002-07,0.308,
2002-10,0.300,
2003-01,0.316,
2003-04,0.331,
2003-07,0.308,
2003-10,0.295,
2004-01,0.282,
2004-04,0.273,
2004-07,0.235,
2004-10,0.259,
2005-01,0.263,
2005-04,0.266,
2005-07,0.333,
2005-10,0.290,
2006-01,0.272,
2006-04,0.281,
2006-07,0.266,
2006-10,0.253,
2007-01,0.315,
2007-04,0.256,
2007-07,0.215,
2007-10,0.233,
2008-01,0.216,
2008-04,0.205,
2008-07,0.208,
2008-10,0.233,
2009-01,0.222,
2009-04,0.200,
2009-07,0.182,
2009-10,0.222,
2010-01,0.186,
2010-04,0.184,
2010-07,0.180,
2010-10,0.217,
2011-01,0.225,
2011-04,0.184,
2011-07,0.198,
2011-10,0.213,
2012-01,0.201,
2012-04,0.201,
2012-07,0.194,
2012-10,0.196,
2013-01,0.223,
2013-04,0.216,
2013-07,0.239,
2013-10,0.228,
2014-01,0.222,
2014-04,0.227,
2014-07,0.231,
