"",BBSF2.M.1.P.00000.REN01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.REN01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Bonds funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:29,
2009-09,44879,
2009-10,44884,
2009-11,45784,
2009-12,45186,
2010-01,45435,
2010-02,45933,
2010-03,47127,
2010-04,47143,
2010-05,48137,
2010-06,48356,
2010-07,48909,
2010-08,49437,
2010-09,49633,
2010-10,48494,
2010-11,46426,
2010-12,46296,
2011-01,46183,
2011-02,45882,
2011-03,44654,
2011-04,44108,
2011-05,44121,
2011-06,43899,
2011-07,45067,
2011-08,45241,
2011-09,45334,
2011-10,44660,
2011-11,43237,
2011-12,43690,
2012-01,44724,
2012-02,45554,
2012-03,45182,
2012-04,45265,
2012-05,45652,
2012-06,44852,
2012-07,45768,
2012-08,46000,
2012-09,46288,
2012-10,46462,
2012-11,46861,
2012-12,47095,
2013-01,47308,
2013-02,48345,
2013-03,48560,
2013-04,49301,
2013-05,49056,
2013-06,47472,
2013-07,48479,
2013-08,47727,
2013-09,48048,
2013-10,47917,
2013-11,47100,
2013-12,46840,
2014-01,47489,
2014-02,48436,
2014-03,48388,
2014-04,48905,
2014-05,49046,
2014-06,49241,
2014-07,49449,
2014-08,50370,
2014-09,50533,
2014-10,51262,
2014-11,52432,
