"",BBK01.OEAA08G,BBK01.OEAA08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:23,
2002-01,3.255,
2002-04,3.157,
2002-07,3.110,
2002-10,3.004,
2003-01,2.854,
2003-04,2.797,
2003-07,2.775,
2003-10,2.726,
2004-01,2.604,
2004-04,2.555,
2004-07,2.507,
2004-10,2.465,
2005-01,1.060,
2005-04,1.045,
2005-07,1.003,
2005-10,0.971,
2006-01,0.901,
2006-04,0.877,
2006-07,0.858,
2006-10,0.885,
2007-01,0.851,
2007-04,0.826,
2007-07,0.800,
2007-10,0.774,
2008-01,0.742,
2008-04,0.718,
2008-07,0.696,
2008-10,0.661,
2009-01,0.637,
2009-04,0.613,
2009-07,0.588,
2009-10,0.598,
2010-01,0.605,
2010-04,0.583,
2010-07,0.542,
2010-10,0.682,
2011-01,0.679,
2011-04,0.689,
2011-07,0.675,
2011-10,0.742,
2012-01,0.755,
2012-04,0.781,
2012-07,0.758,
2012-10,0.740,
2013-01,0.690,
2013-04,0.708,
2013-07,0.680,
2013-10,0.671,
2014-01,0.636,
2014-04,0.615,
2014-07,0.580,
