"",BBK01.OEAJ03R,BBK01.OEAJ03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:14,
2002-01,0.740,
2002-04,0.697,
2002-07,0.725,
2002-10,0.771,
2003-01,0.641,
2003-04,0.650,
2003-07,0.617,
2003-10,0.650,
2004-01,0.605,
2004-04,0.553,
2004-07,0.513,
2004-10,0.541,
2005-01,0.500,
2005-04,0.436,
2005-07,0.515,
2005-10,0.437,
2006-01,0.476,
2006-04,0.520,
2006-07,0.514,
2006-10,0.485,
2007-01,0.562,
2007-04,0.613,
2007-07,0.681,
2007-10,0.753,
2008-01,0.866,
2008-04,0.847,
2008-07,0.942,
2008-10,0.834,
2009-01,0.498,
2009-04,0.427,
2009-07,0.427,
2009-10,0.410,
2010-01,0.386,
2010-04,0.335,
2010-07,0.348,
2010-10,0.377,
2011-01,0.419,
2011-04,0.419,
2011-07,0.442,
2011-10,0.878,
2012-01,0.901,
2012-04,1.022,
2012-07,1.079,
2012-10,1.052,
2013-01,1.052,
2013-04,1.040,
2013-07,1.018,
2013-10,1.006,
2014-01,0.999,
2014-04,1.045,
2014-07,0.818,
