"",BBK01.OEAA03I,BBK01.OEAA03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:06,
2002-01,18.634,
2002-04,16.358,
2002-07,16.500,
2002-10,15.685,
2003-01,14.435,
2003-04,14.323,
2003-07,15.084,
2003-10,13.093,
2004-01,13.378,
2004-04,12.667,
2004-07,12.742,
2004-10,12.383,
2005-01,11.821,
2005-04,11.625,
2005-07,13.250,
2005-10,11.976,
2006-01,11.834,
2006-04,11.451,
2006-07,11.857,
2006-10,12.618,
2007-01,10.744,
2007-04,10.421,
2007-07,10.569,
2007-10,14.095,
2008-01,15.228,
2008-04,15.101,
2008-07,16.557,
2008-10,15.428,
2009-01,15.774,
2009-04,15.796,
2009-07,15.992,
2009-10,17.561,
2010-01,17.861,
2010-04,16.662,
2010-07,13.374,
2010-10,13.688,
2011-01,14.692,
2011-04,16.318,
2011-07,18.191,
2011-10,14.067,
2012-01,18.422,
2012-04,19.429,
2012-07,17.400,
2012-10,13.721,
2013-01,15.001,
2013-04,17.818,
2013-07,10.015,
2013-10,10.574,
2014-01,11.108,
2014-04,10.884,
2014-07,10.023,
