"",BBK01.OEAH82Q,BBK01.OEAH82Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:27,
2002-01,0.188,
2002-04,0.180,
2002-07,0.170,
2002-10,0.181,
2003-01,0.174,
2003-04,0.161,
2003-07,0.155,
2003-10,0.151,
2004-01,0.152,
2004-04,0.151,
2004-07,0.157,
2004-10,0.149,
2005-01,0.145,
2005-04,0.144,
2005-07,0.168,
2005-10,0.146,
2006-01,0.146,
2006-04,0.163,
2006-07,0.158,
2006-10,0.159,
2007-01,0.162,
2007-04,0.150,
2007-07,0.157,
2007-10,0.157,
2008-01,0.151,
2008-04,0.146,
2008-07,0.140,
2008-10,0.159,
2009-01,0.189,
2009-04,0.197,
2009-07,0.205,
2009-10,0.237,
2010-01,0.196,
2010-04,0.190,
2010-07,0.249,
2010-10,0.245,
2011-01,0.236,
2011-04,0.230,
2011-07,0.223,
2011-10,0.230,
2012-01,0.238,
2012-04,0.244,
2012-07,0.239,
2012-10,0.246,
2013-01,0.242,
2013-04,0.248,
2013-07,0.230,
2013-10,0.236,
2014-01,0.228,
2014-04,0.226,
2014-07,0.232,
