"",BBK01.OEAH38P,BBK01.OEAH38P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:38,
2002-01,0.475,
2002-04,0.475,
2002-07,0.471,
2002-10,0.471,
2003-01,0.468,
2003-04,0.453,
2003-07,0.441,
2003-10,0.614,
2004-01,0.585,
2004-04,0.580,
2004-07,0.577,
2004-10,0.578,
2005-01,0.571,
2005-04,0.565,
2005-07,0.559,
2005-10,0.535,
2006-01,0.526,
2006-04,0.520,
2006-07,0.511,
2006-10,0.472,
2007-01,0.459,
2007-04,0.460,
2007-07,0.443,
2007-10,0.348,
2008-01,0.344,
2008-04,0.347,
2008-07,0.349,
2008-10,0.362,
2009-01,0.363,
2009-04,0.360,
2009-07,0.362,
2009-10,0.295,
2010-01,0.311,
2010-04,0.307,
2010-07,0.268,
2010-10,0.259,
2011-01,0.257,
2011-04,0.257,
2011-07,0.241,
2011-10,0.193,
2012-01,0.191,
2012-04,0.185,
2012-07,0.184,
2012-10,0.193,
2013-01,0.191,
2013-04,0.189,
2013-07,0.193,
2013-10,0.209,
2014-01,0.202,
2014-04,0.192,
2014-07,0.196,
