"",BBK01.OEAD35Q,BBK01.OEAD35Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:26,
2002-01,0.294,
2002-04,0.288,
2002-07,0.281,
2002-10,0.277,
2003-01,0.266,
2003-04,0.293,
2003-07,0.295,
2003-10,0.300,
2004-01,0.297,
2004-04,0.276,
2004-07,0.273,
2004-10,0.279,
2005-01,0.274,
2005-04,0.263,
2005-07,0.256,
2005-10,0.252,
2006-01,0.246,
2006-04,0.251,
2006-07,0.255,
2006-10,0.248,
2007-01,0.319,
2007-04,0.291,
2007-07,0.281,
2007-10,0.238,
2008-01,0.197,
2008-04,0.195,
2008-07,0.192,
2008-10,0.195,
2009-01,0.178,
2009-04,0.184,
2009-07,0.203,
2009-10,0.195,
2010-01,0.197,
2010-04,0.195,
2010-07,0.188,
2010-10,0.177,
2011-01,0.172,
2011-04,0.171,
2011-07,0.171,
2011-10,0.172,
2012-01,0.171,
2012-04,0.181,
2012-07,0.180,
2012-10,0.187,
2013-01,0.179,
2013-04,0.171,
2013-07,0.174,
2013-10,0.177,
2014-01,0.177,
2014-04,0.174,
2014-07,0.171,
