"",BBEX3.M.BSD.EUR.CA.AC.A01,BBEX3.M.BSD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in the Bahamas / EUR 1 = BSD ... (middle),
unit,BSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:24,
1999-01,1.145500,
1999-02,1.099000,
1999-03,1.072500,
1999-04,1.063500,
1999-05,1.043500,
1999-06,1.033500,
1999-07,1.063750,
1999-08,1.053500,
1999-09,1.066550,
1999-10,1.055050,
1999-11,1.008750,
1999-12,1.007400,
2000-01,1.019650,
2000-02,1.030600,
2000-03,1.047400,
2000-04,0.909750,
2000-05,0.930300,
2000-06,0.955750,
2000-07,0.924050,
2000-08,0.892500,
2000-09,0.878500,
2000-10,0.855450,
2000-11,0.869750,
2000-12,0.929450,
2001-01,0.930100,
2001-02,0.928800,
2001-03,0.882950,
2001-04,0.888200,
2001-05,0.847900,
2001-06,0.848450,
2001-07,0.882100,
2001-08,0.914750,
2001-09,0.913600,
2001-10,0.904750,
2001-11,0.889700,
2001-12,0.885700,
2002-01,0.863250,
2002-02,0.865400,
2002-03,0.871750,
2002-04,0.900900,
2002-05,0.937950,
2002-06,0.995450,
2002-07,0.976750,
2002-08,0.983950,
2002-09,0.986600,
2002-10,0.986800,
2002-11,0.992500,
2002-12,1.047500,
2003-01,1.081500,
2003-02,1.078550,
2003-03,1.089000,
2003-04,1.112250,
2003-05,1.182000,
2003-06,1.143000,
2003-07,1.129800,
2003-08,1.095000,
2003-09,1.168000,
2003-10,1.164000,
2003-11,1.199600,
2003-12,1.262500,
2004-01,1.247000,
2004-02,1.243000,
2004-03,1.222750,
2004-04,1.194800,
2004-05,1.220850,
2004-06,1.215300,
2004-07,1.204550,
2004-08,1.211300,
2004-09,1.241050,
2004-10,1.275750,
2004-11,1.326000,
2004-12,1.363900,
2005-01,1.303900,
2005-02,1.318300,
2005-03,1.295550,
2005-04,1.293950,
2005-05,1.233200,
2005-06,1.208900,
2005-07,1.209800,
2005-08,1.221800,
2005-09,1.202800,
2005-10,1.202450,
2005-11,1.176000,
2005-12,1.180200,
2006-01,1.211800,
2006-02,1.188050,
2006-03,1.212300,
2006-04,1.268450,
2006-05,1.286850,
2006-06,1.275350,
2006-07,1.276600,
2006-08,1.287200,
2006-09,1.264950,
2006-10,1.270300,
2006-11,1.319550,
2006-12,1.316350,
2007-01,1.293900,
2007-02,1.318800,
2007-03,1.331500,
2007-04,1.353700,
2007-05,1.346800,
2007-06,1.351800,
2007-07,1.370200,
2007-08,1.369400,
2007-09,1.419850,
2007-10,1.444900,
2007-11,1.476500,
2007-12,1.471400,
2008-01,1.484700,
2008-02,1.519000,
2008-03,1.580900,
2008-04,1.555650,
2008-05,1.550600,
2008-06,1.577000,
2008-07,1.569000,
2008-08,1.474500,
2008-09,1.423400,
2008-10,1.275100,
2008-11,1.273600,
2008-12,1.387250,
2009-01,1.287400,
2009-02,1.263700,
2009-03,1.330800,
2009-04,1.322800,
2009-05,1.411200,
2009-06,1.409100,
2009-07,1.410400,
2009-08,1.428100,
2009-09,1.461400,
2009-10,1.481250,
2009-11,1.501700,
2009-12,1.439900,
2010-01,1.393100,
2010-02,1.357300,
2010-03,1.335700,
2010-04,1.347600,
2010-05,1.232100,
2010-06,1.223900,
2010-07,1.300600,
2010-08,1.272900,
2010-09,1.365700,
2010-10,1.390500,
2010-11,1.309700,
2010-12,1.301850,
2011-01,1.371500,
2011-02,1.383900,
2011-03,1.420900,
2011-04,1.486700,
2011-05,1.440400,
2011-06,1.470200,
2011-07,1.427850,
2011-08,1.436825,
2011-09,1.350200,
2011-10,1.400400,
2011-11,1.328300,
2011-12,1.300770,
2012-01,1.319100,
2012-02,1.349300,
2012-03,1.334200,
2012-04,1.322700,
2012-05,1.244350,
2012-06,1.258900,
2012-07,1.228000,
2012-08,1.258700,
2012-09,1.294100,
2012-10,1.299800,
2012-11,1.300200,
2012-12,1.319000,
2013-01,1.356600,
2013-02,1.310000,
2013-03,1.277000,
2013-04,1.320400,
2013-05,1.299850,
2013-06,1.306500,
2013-07,1.325500,
2013-08,1.324100,
2013-09,1.349900,
2013-10,1.370500,
2013-11,1.360400,
2013-12,1.377900,
2014-01,1.353900,
2014-02,1.379300,
2014-03,1.379200,
2014-04,1.382400,
2014-05,1.361400,
2014-06,1.365300,
2014-07,1.338500,
2014-08,1.311555,
2014-09,1.253650,
2014-10,1.250465,
2014-11,1.245000,
2014-12,1.209570,
2015-01,1.129870,
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of the Bahamas, Nassau.",
