"",BBK01.CEBF0N,BBK01.CEBF0N_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:49,
1991-01,51.8,
1991-04,52.4,
1991-07,52.1,
1991-10,53.0,
1992-01,54.3,
1992-04,54.9,
1992-07,55.5,
1992-10,57.9,
1993-01,60.3,
1993-04,60.2,
1993-07,61.7,
1993-10,62.9,
1994-01,64.2,
1994-04,64.9,
1994-07,65.4,
1994-10,66.6,
1995-01,67.0,
1995-04,68.8,
1995-07,70.5,
1995-10,69.9,
1996-01,68.3,
1996-04,67.8,
1996-07,69.0,
1996-10,69.3,
1997-01,68.8,
1997-04,68.1,
1997-07,70.2,
1997-10,71.4,
1998-01,74.6,
1998-04,78.0,
1998-07,80.3,
1998-10,85.4,
1999-01,85.8,
1999-04,91.8,
1999-07,100.5,
1999-10,108.2,
2000-01,112.8,
2000-04,117.5,
2000-07,136.1,
2000-10,181.1,
2001-01,191.0,
2001-04,199.1,
2001-07,222.8,
2001-10,231.2,
2002-01,237.3,
2002-04,266.0,
2002-07,274.3,
2002-10,285.5,
2003-01,287.2,
2003-04,301.1,
2003-07,306.8,
2003-10,289.0,
2004-01,263.6,
2004-04,274.4,
2004-07,271.1,
2004-10,258.4,
2005-01,268.9,
2005-04,271.6,
2005-07,269.6,
2005-10,275.1,
2006-01,289.8,
2006-04,299.0,
2006-07,301.6,
2006-10,308.3,
2007-01,304.8,
2007-04,304.9,
2007-07,309.0,
2007-10,299.9,
2008-01,315.6,
2008-04,325.3,
2008-07,335.6,
2008-10,348.1,
2009-01,366.9,
2009-04,376.1,
2009-07,384.6,
2009-10,386.7,
2010-01,394.0,
2010-04,401.6,
2010-07,407.0,
2010-10,421.1,
2011-01,422.1,
2011-04,423.7,
2011-07,426.6,
2011-10,421.5,
2012-01,444.3,
2012-04,465.3,
2012-07,464.7,
2012-10,472.2,
2013-01,481.8,
2013-04,498.0,
2013-07,496.7,
2013-10,495.9,
2014-01,495.1,
