"",BBK01.CEFLN0,BBK01.CEFLN0_FLAGS
"",Investment fund shares or units                                             debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:29,
1999-01,90.7,
1999-04,92.9,
1999-07,95.5,
1999-10,101.3,
2000-01,116.2,
2000-04,123.4,
2000-07,130.0,
2000-10,134.3,
2001-01,140.6,
2001-04,145.5,
2001-07,149.4,
2001-10,154.7,
2002-01,159.7,
2002-04,161.0,
2002-07,162.4,
2002-10,161.7,
2003-01,165.0,
2003-04,165.3,
2003-07,165.0,
2003-10,165.6,
2004-01,176.3,
2004-04,179.5,
2004-07,182.9,
2004-10,182.9,
2005-01,199.9,
2005-04,209.2,
2005-07,223.1,
2005-10,230.2,
2006-01,239.1,
2006-04,234.5,
2006-07,245.4,
2006-10,266.8,
2007-01,280.1,
2007-04,303.3,
2007-07,309.0,
2007-10,313.1,
2008-01,306.3,
2008-04,311.8,
2008-07,305.6,
2008-10,261.6,
2009-01,257.1,
2009-04,271.3,
2009-07,292.4,
2009-10,304.9,
2010-01,318.6,
2010-04,316.5,
2010-07,327.9,
2010-10,341.6,
2011-01,340.3,
2011-04,338.8,
2011-07,311.2,
2011-10,315.1,
2012-01,334.3,
2012-04,325.7,
2012-07,340.1,
2012-10,354.3,
2013-01,377.9,
2013-04,369.0,
2013-07,381.4,
2013-10,391.0,
2014-01,400.0,
2014-04,421.4,
2014-07,436.8,
