"",BBK01.OEYB24V,BBK01.OEYB24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:09,
2002-01,3.277,
2002-04,3.289,
2002-07,3.267,
2002-10,3.177,
2003-01,3.154,
2003-04,3.273,
2003-07,3.290,
2003-10,3.361,
2004-01,3.534,
2004-04,3.747,
2004-07,3.904,
2004-10,3.898,
2005-01,3.940,
2005-04,3.936,
2005-07,4.105,
2005-10,3.969,
2006-01,3.982,
2006-04,3.968,
2006-07,3.944,
2006-10,4.106,
2007-01,4.066,
2007-04,4.060,
2007-07,3.958,
2007-10,3.936,
2008-01,3.476,
2008-04,1.359,
2008-07,1.876,
2008-10,1.875,
2009-01,1.227,
2009-04,1.245,
2009-07,1.292,
2009-10,1.304,
2010-01,1.313,
2010-04,1.357,
2010-07,1.536,
2010-10,1.662,
2011-01,1.643,
2011-04,1.648,
2011-07,1.684,
2011-10,1.724,
2012-01,1.709,
2012-04,2.000,
2012-07,2.026,
2012-10,2.102,
2013-01,2.023,
2013-04,2.032,
2013-07,2.028,
2013-10,1.799,
2014-01,1.727,
2014-04,1.606,
2014-07,1.489,
