"",BBK01.OEBB12H,BBK01.OEBB12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:45,
2002-01,32.026,
2002-04,31.368,
2002-07,31.231,
2002-10,31.079,
2003-01,30.697,
2003-04,30.588,
2003-07,29.844,
2003-10,29.432,
2004-01,29.606,
2004-04,28.710,
2004-07,27.600,
2004-10,27.124,
2005-01,28.455,
2005-04,28.047,
2005-07,28.226,
2005-10,27.918,
2006-01,27.281,
2006-04,27.367,
2006-07,27.084,
2006-10,27.186,
2007-01,26.350,
2007-04,26.314,
2007-07,26.055,
2007-10,26.142,
2008-01,26.078,
2008-04,26.305,
2008-07,26.114,
2008-10,26.161,
2009-01,25.788,
2009-04,17.376,
2009-07,17.221,
2009-10,17.726,
2010-01,17.701,
2010-04,18.020,
2010-07,17.867,
2010-10,18.061,
2011-01,17.744,
2011-04,17.607,
2011-07,17.696,
2011-10,18.457,
2012-01,19.081,
2012-04,19.269,
2012-07,19.199,
2012-10,19.178,
2013-01,19.406,
2013-04,19.614,
2013-07,19.591,
2013-10,19.588,
2014-01,19.319,
2014-04,19.085,
2014-07,19.537,
