"",BBDA1.M.DE.N.IM.S.A.PT.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.PT.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Portugal / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:17,
1990-07,231454,
1990-08,198311,
1990-09,151156,
1990-10,204655,
1990-11,241080,
1990-12,210264,
1991-01,248738,
1991-02,239022,
1991-03,253932,
1991-04,228616,
1991-05,258378,
1991-06,222069,
1991-07,282454,
1991-08,214738,
1991-09,194210,
1991-10,279631,
1991-11,234346,
1991-12,217207,
1992-01,262280,
1992-02,250839,
1992-03,264269,
1992-04,258622,
1992-05,210467,
1992-06,223305,
1992-07,312993,
1992-08,200004,
1992-09,223577,
1992-10,289337,
1992-11,251281,
1992-12,275152,
1993-01,242286,
1993-02,215527,
1993-03,246070,
1993-04,208947,
1993-05,215026,
1993-06,226578,
1993-07,264529,
1993-08,212452,
1993-09,209957,
1993-10,228408,
1993-11,255373,
1993-12,211157,
1994-01,212097,
1994-02,217153,
1994-03,261053,
1994-04,202659,
1994-05,246381,
1994-06,239644,
1994-07,260808,
1994-08,214315,
1994-09,226302,
1994-10,255095,
1994-11,250416,
1994-12,261949,
1995-01,256809,
1995-02,304853,
1995-03,334645,
1995-04,247524,
1995-05,242124,
1995-06,330355,
1995-07,315164,
1995-08,246060,
1995-09,325872,
1995-10,309059,
1995-11,338897,
1995-12,330659,
1996-01,341100,
1996-02,325020,
1996-03,386515,
1996-04,376464,
1996-05,351570,
1996-06,287931,
1996-07,372357,
1996-08,336788,
1996-09,264058,
1996-10,378907,
1996-11,378056,
1996-12,340903,
1997-01,325920,
1997-02,391734,
1997-03,342403,
1997-04,364995,
1997-05,446520,
1997-06,419532,
1997-07,406258,
1997-08,354113,
1997-09,306370,
1997-10,373840,
1997-11,386128,
1997-12,424803,
1998-01,378603,
1998-02,380612,
1998-03,392974,
1998-04,410622,
1998-05,357796,
1998-06,425233,
1998-07,461213,
1998-08,302985,
1998-09,360538,
1998-10,414279,
1998-11,408114,
1998-12,356482,
1999-01,357704,
1999-02,388241,
1999-03,362819,
1999-04,432919,
1999-05,408397,
1999-06,435600,
1999-07,417537,
1999-08,347886,
1999-09,384803,
1999-10,436494,
1999-11,453874,
1999-12,344139,
2000-01,379538,
2000-02,441860,
2000-03,424680,
2000-04,341211,
2000-05,551027,
2000-06,392717,
2000-07,544473,
2000-08,447635,
2000-09,346499,
2000-10,596420,
2000-11,532272,
2000-12,470586,
2001-01,446334,
2001-02,485151,
2001-03,449983,
2001-04,363265,
2001-05,331679,
2001-06,512920,
2001-07,557015,
2001-08,356795,
2001-09,355878,
2001-10,440280,
2001-11,491625,
2001-12,334084,
2002-01,359128,
2002-02,383966,
2002-03,409112,
2002-04,396241,
2002-05,360758,
2002-06,460608,
2002-07,455212,
2002-08,340006,
2002-09,416796,
2002-10,485860,
2002-11,459795,
2002-12,378190,
2003-01,338523,
2003-02,383435,
2003-03,480775,
2003-04,387276,
2003-05,442841,
2003-06,432489,
2003-07,450573,
2003-08,305726,
2003-09,395583,
2003-10,477792,
2003-11,433959,
2003-12,394788,
2004-01,412269,
2004-02,386680,
2004-03,458480,
2004-04,391124,
2004-05,382030,
2004-06,333174,
2004-07,385160,
2004-08,281776,
2004-09,409321,
2004-10,391297,
2004-11,384359,
2004-12,313919,
2005-01,334479,
2005-02,333485,
2005-03,330055,
2005-04,325895,
2005-05,354712,
2005-06,341475,
2005-07,323820,
2005-08,329062,
2005-09,319525,
2005-10,346775,
2005-11,348020,
2005-12,346341,
2006-01,319367,
2006-02,303996,
2006-03,404698,
2006-04,344698,
2006-05,331861,
2006-06,346438,
2006-07,318804,
2006-08,287094,
2006-09,342664,
2006-10,356378,
2006-11,445516,
2006-12,302431,
2007-01,333368,
2007-02,339469,
2007-03,362877,
2007-04,302555,
2007-05,337880,
2007-06,343494,
2007-07,381729,
2007-08,324334,
2007-09,310807,
2007-10,344873,
2007-11,355003,
2007-12,319078,
2008-01,368126,
2008-02,364009,
2008-03,401491,
2008-04,359292,
2008-05,338066,
2008-06,321403,
2008-07,371233,
2008-08,298738,
2008-09,340579,
2008-10,350205,
2008-11,311120,
2008-12,238254,
2009-01,254604,
2009-02,269681,
2009-03,317483,
2009-04,304139,
2009-05,272342,
2009-06,292953,
2009-07,305671,
2009-08,248464,
2009-09,292785,
2009-10,315751,
2009-11,298134,
2009-12,291186,
2010-01,296700,
2010-02,282364,
2010-03,387054,
2010-04,327747,
2010-05,355777,
2010-06,334954,
2010-07,361653,
2010-08,310082,
2010-09,334496,
2010-10,364096,
2010-11,359350,
2010-12,307554,
2011-01,362773,
2011-02,370887,
2011-03,431817,
2011-04,380526,
2011-05,428358,
2011-06,395160,
2011-07,404949,
2011-08,352548,
2011-09,397566,
2011-10,409919,
2011-11,415530,
2011-12,356755,
2012-01,384605,
2012-02,402014,
2012-03,458294,
2012-04,364863,
2012-05,417866,
2012-06,420496,
2012-07,455416,
2012-08,377568,
2012-09,392984,
2012-10,440657,
2012-11,425731,
2012-12,334881,
2013-01,397460,
2013-02,414934,
2013-03,421949,
2013-04,420134,
2013-05,425464,
2013-06,445967,
2013-07,453621,
2013-08,387991,
2013-09,419745,
2013-10,479158,
2013-11,478213,
2013-12,362376,
2014-01,404933,
2014-02,438876,
2014-03,470781,
2014-04,417854,
2014-05,442287,
2014-06,481234,
2014-07,504379,
2014-08,344071,
2014-09,443787,
2014-10,497967,
2014-11,436886,
2014-12,379128,
