"",BBK01.OEAA23T,BBK01.OEAA23T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:26,
2002-01,5.103,
2002-04,5.133,
2002-07,5.149,
2002-10,5.133,
2003-01,5.738,
2003-04,5.664,
2003-07,5.747,
2003-10,5.822,
2004-01,5.751,
2004-04,5.750,
2004-07,5.715,
2004-10,5.737,
2005-01,5.676,
2005-04,5.663,
2005-07,5.638,
2005-10,5.681,
2006-01,5.642,
2006-04,5.773,
2006-07,5.829,
2006-10,5.943,
2007-01,5.924,
2007-04,5.741,
2007-07,5.872,
2007-10,5.904,
2008-01,6.032,
2008-04,6.177,
2008-07,6.292,
2008-10,6.597,
2009-01,6.656,
2009-04,7.005,
2009-07,7.133,
2009-10,7.567,
2010-01,7.624,
2010-04,7.648,
2010-07,7.874,
2010-10,8.037,
2011-01,8.145,
2011-04,8.266,
2011-07,8.534,
2011-10,8.759,
2012-01,9.101,
2012-04,9.125,
2012-07,9.333,
2012-10,9.571,
2013-01,9.739,
2013-04,9.918,
2013-07,9.955,
2013-10,10.012,
2014-01,10.074,
2014-04,10.219,
2014-07,10.327,
