"",BBFB1.Q.N.DE.US.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:58,
1991-01,-2810.016,
1991-04,-87.400,
1991-07,1011.859,
1991-10,1632.579,
1992-01,267.989,
1992-04,1054.715,
1992-07,2063.992,
1992-10,2256.402,
1993-01,886.132,
1993-04,1757.401,
1993-07,1695.039,
1993-10,2241.491,
1994-01,1096.237,
1994-04,1382.262,
1994-07,1005.868,
1994-10,1346.385,
1995-01,436.973,
1995-04,2167.612,
1995-07,678.988,
1995-10,1440.874,
1996-01,1673.280,
1996-04,1972.374,
1996-07,2399.855,
1996-10,2717.393,
1997-01,2107.809,
1997-04,2485.209,
1997-07,3498.307,
1997-10,3458.735,
1998-01,3546.746,
1998-04,3734.762,
1998-07,2880.689,
1998-10,3368.711,
1999-01,1292.893,
1999-04,4821.939,
1999-07,3981.042,
1999-10,3096.773,
2000-01,4559.082,
2000-04,4192.517,
2000-07,4689.540,
2000-10,2487.151,
2001-01,2920.439,
2001-04,2611.077,
2001-07,3849.434,
2001-10,2954.058,
2002-01,5356.925,
2002-04,4624.270,
2002-07,8239.461,
2002-10,5788.684,
2003-01,4516.719,
2003-04,6150.117,
2003-07,5694.219,
2003-10,5585.425,
2004-01,10385.873,
2004-04,9095.818,
2004-07,10888.021,
2004-10,10517.961,
2005-01,10300.770,
2005-04,9235.188,
2005-07,10732.064,
2005-10,9774.514,
2006-01,10430.122,
2006-04,8600.682,
2006-07,10473.846,
2006-10,10864.673,
2007-01,7290.469,
2007-04,4909.698,
2007-07,7911.540,
2007-10,8845.586,
2008-01,3290.027,
2008-04,7000.282,
2008-07,9997.066,
2008-10,5451.704,
2009-01,3767.647,
2009-04,2885.255,
2009-07,4504.355,
2009-10,4194.719,
2010-01,5787.115,
2010-04,4414.981,
2010-07,6104.335,
2010-10,5911.582,
2011-01,5766.026,
2011-04,4096.935,
2011-07,7853.107,
2011-10,9344.793,
2012-01,8793.520,
2012-04,6472.914,
2012-07,12143.402,
2012-10,10197.298,
2013-01,8084.624,
2013-04,6829.185,
2013-07,10175.370,
2013-10,10719.569,
2014-01,10378.082,Provisional value
2014-04,7473.403,Provisional value
2014-07,11996.801,Provisional value
