"",BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:34,
1991-01,7.435,
1991-04,7.435,
1991-07,6.770,
1991-10,7.435,
1992-01,-10.321,
1992-04,-10.471,
1992-07,-10.321,
1992-10,-10.321,
1993-01,-41.795,
1993-04,-42.139,
1993-07,-44.676,
1993-10,-42.150,
1994-01,-11.010,
1994-04,-11.010,
1994-07,-11.010,
1994-10,-11.010,
1995-01,8.482,
1995-04,8.482,
1995-07,8.482,
1995-10,8.482,
1996-01,-41.135,
1996-04,-41.135,
1996-07,-41.135,
1996-10,-41.135,
1997-01,-38.347,
1997-04,-38.347,
1997-07,-42.531,
1997-10,-38.347,
1998-01,-38.347,
1998-04,-38.347,
1998-07,-38.347,
1998-10,-38.347,
1999-01,12.000,
1999-04,12.000,
1999-07,12.000,
1999-10,12.000,
2000-01,3.000,
2000-04,3.000,
2000-07,-0.026,
2000-10,-0.051,
2001-01,-157.389,
2001-04,-201.886,
2001-07,-198.886,
2001-10,-162.389,
2002-01,13.889,
2002-04,17.876,
2002-07,13.337,
2002-10,16.304,
2003-01,14.076,
2003-04,16.863,
2003-07,15.297,
2003-10,19.113,
2004-01,-56.957,
2004-04,-55.187,
2004-07,-64.045,
2004-10,-67.361,
2005-01,1.208,
2005-04,-0.811,
2005-07,-0.722,
2005-10,1.325,
2006-01,-9.333,
2006-04,-13.902,
2006-07,-13.033,
2006-10,-12.732,
2007-01,-8.953,
2007-04,-18.174,
2007-07,-8.365,
2007-10,-7.280,
2008-01,-118.878,
2008-04,63.197,
2008-07,111.708,
2008-10,32.753,
2009-01,1.415,
2009-04,26.951,
2009-07,77.017,
2009-10,141.917,
2010-01,23.925,
2010-04,25.239,
2010-07,33.406,
2010-10,29.850,
2011-01,-0.877,
2011-04,2.172,
2011-07,1.226,
2011-10,-5.616,
2012-01,2.641,
2012-04,1.786,
2012-07,2.811,
2012-10,2.720,
2013-01,7.872,
2013-04,7.419,
2013-07,-38.833,
2013-10,7.115,
2014-01,7.263,Provisional value
2014-04,2.351,Provisional value
2014-07,7.448,Provisional value
2014-10,1.486,Provisional value
