"",BBK01.QX6986,BBK01.QX6986_FLAGS
"","Foreign branches: Claims on non-residents, total / Ireland / US Dollars",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:44:45,
1995-01,0.537,
1995-02,0.513,
1995-03,0.452,
1995-04,0.461,
1995-05,0.501,
1995-06,0.563,
1995-07,0.583,
1995-08,0.603,
1995-09,0.629,
1995-10,0.743,
1995-11,0.732,
1995-12,0.821,
1996-01,0.859,
1996-02,0.753,
1996-03,0.626,
1996-04,0.678,
1996-05,0.880,
1996-06,0.934,
1996-07,0.836,
1996-08,1.002,
1996-09,1.114,
1996-10,1.042,
1996-11,0.944,
1996-12,1.310,
1997-01,1.614,
1997-02,1.734,
1997-03,1.330,
1997-04,1.417,
1997-05,1.451,
1997-06,1.360,
1997-07,1.574,
1997-08,2.095,
1997-09,2.155,
1997-10,2.687,
1997-11,2.896,
1997-12,1.850,
1998-01,1.840,
1998-02,1.778,
1998-03,2.036,
1998-04,2.143,
1998-05,2.058,
1998-06,2.063,
1998-07,2.198,
1998-08,2.712,
1998-09,2.453,
1998-10,2.642,
1998-11,2.769,
1998-12,3.429,
1999-01,3.180,
1999-02,2.825,
1999-03,3.123,
1999-04,3.297,
1999-05,2.927,
1999-06,3.682,
1999-07,3.297,
1999-08,3.678,
1999-09,3.969,
1999-10,4.285,
1999-11,3.952,
1999-12,4.135,
2000-01,5.253,
2000-02,5.065,
2000-03,5.247,
2000-04,4.346,
2000-05,6.254,
2000-06,3.894,
2000-07,4.828,
2000-08,3.701,
2000-09,4.030,
2000-10,5.601,
2000-11,5.791,
2000-12,4.792,
2001-01,4.359,
2001-02,4.593,
2001-03,4.686,
2001-04,4.218,
2001-05,3.673,
2001-06,3.128,
2001-07,3.959,
2001-08,5.283,
2001-09,5.848,
2001-10,5.443,
2001-11,5.368,
2001-12,5.344,
2002-01,5.141,
2002-02,5.469,
2002-03,6.905,
2002-04,6.526,
2002-05,5.116,
2002-06,5.158,
2002-07,4.218,
2002-08,4.407,
2002-09,4.441,
2002-10,4.531,
2002-11,5.167,
2002-12,4.700,
2003-01,4.360,
2003-02,3.972,
2003-03,4.316,
2003-04,3.263,
2003-05,2.947,
2003-06,3.213,
2003-07,2.324,
2003-08,2.828,
2003-09,2.788,
2003-10,2.583,
2003-11,2.453,
2003-12,2.709,
2004-01,2.697,
2004-02,2.811,
2004-03,3.355,
2004-04,3.313,
2004-05,3.229,
2004-06,3.071,
2004-07,3.498,
2004-08,3.204,
2004-09,3.191,
2004-10,3.405,
2004-11,4.204,
2004-12,4.338,
2005-01,4.091,
2005-02,4.198,
2005-03,3.868,
2005-04,4.062,
2005-05,4.697,
2005-06,5.146,
2005-07,4.470,
2005-08,4.309,
2005-09,4.879,
2005-10,5.510,
2005-11,6.210,
2005-12,6.607,
2006-01,5.661,
2006-02,6.377,
2006-03,6.920,
2006-04,7.170,
2006-05,7.490,
2006-06,6.168,
2006-07,6.712,
2006-08,5.615,
2006-09,5.974,
2006-10,5.439,
2006-11,5.675,
2006-12,5.868,
2007-01,6.757,
2007-02,6.182,
2007-03,7.161,
2007-04,6.769,
2007-05,8.620,
2007-06,8.170,
2007-07,7.641,
2007-08,10.396,
2007-09,9.214,
2007-10,8.229,
2007-11,14.803,
2007-12,13.414,
2008-01,12.741,
2008-02,11.134,
2008-03,8.854,
2008-04,8.845,
2008-05,9.784,
2008-06,8.070,
2008-07,9.797,
2008-08,10.830,
2008-09,8.418,
2008-10,10.335,
2008-11,11.243,
2008-12,10.884,
2009-01,10.230,
2009-02,6.250,
2009-03,8.500,
2009-04,6.989,
2009-05,5.747,
2009-06,5.745,
2009-07,6.379,
2009-08,7.831,
2009-09,7.720,
2009-10,8.133,
2009-11,8.292,
2009-12,8.267,
2010-01,8.728,
2010-02,8.789,
2010-03,10.384,
2010-04,8.099,
2010-05,9.124,
2010-06,9.282,
2010-07,8.507,
2010-08,9.216,
2010-09,8.635,
2010-10,8.726,
2010-11,8.412,
2010-12,7.922,
2011-01,7.874,
2011-02,7.787,
2011-03,8.519,
2011-04,7.014,
2011-05,7.489,
2011-06,7.779,
2011-07,8.127,
2011-08,8.966,
2011-09,10.360,
2011-10,9.688,
2011-11,10.191,
2011-12,8.403,
2012-01,8.199,
2012-02,7.280,
2012-03,7.082,
2012-04,7.079,
2012-05,7.547,
2012-06,7.070,
2012-07,7.155,
2012-08,6.084,
2012-09,6.379,
2012-10,5.601,
2012-11,5.112,
2012-12,5.233,
2013-01,5.026,
2013-02,4.819,
2013-03,4.898,
2013-04,4.979,
2013-05,5.069,
2013-06,4.905,
2013-07,5.002,
2013-08,4.831,
2013-09,4.673,
2013-10,5.137,
2013-11,4.804,
2013-12,4.820,
2014-01,5.303,
2014-02,4.887,
2014-03,4.812,
2014-04,4.697,
2014-05,4.591,
2014-06,4.802,
2014-07,5.309,
2014-08,4.821,
2014-09,5.074,
2014-10,9.876,
2014-11,10.382,
