"",BBEX3.M.CAD.EUR.BB.AC.A02,BBEX3.M.CAD.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = CAD ... / Canada,
unit,CAD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:20,
1999-01,1.7646,
1999-02,1.6786,
1999-03,1.6510,
1999-04,1.5944,
1999-05,1.5527,
1999-06,1.5244,
1999-07,1.5403,
1999-08,1.5833,
1999-09,1.5518,
1999-10,1.5808,
1999-11,1.5160,
1999-12,1.4906,
2000-01,1.4687,
2000-02,1.4270,
2000-03,1.4082,
2000-04,1.3890,
2000-05,1.3549,
2000-06,1.4018,
2000-07,1.3886,
2000-08,1.3406,
2000-09,1.2945,
2000-10,1.2924,
2000-11,1.3204,
2000-12,1.3679,
2001-01,1.4098,
2001-02,1.4027,
2001-03,1.4167,
2001-04,1.3903,
2001-05,1.3473,
2001-06,1.3016,
2001-07,1.3153,
2001-08,1.3857,
2001-09,1.4260,
2001-10,1.4224,
2001-11,1.4153,
2001-12,1.4075,
2002-01,1.4135,
2002-02,1.3880,
2002-03,1.3903,
2002-04,1.4008,
2002-05,1.4210,
2002-06,1.4627,
2002-07,1.5321,
2002-08,1.5333,
2002-09,1.5434,
2002-10,1.5481,
2002-11,1.5735,
2002-12,1.5872,
2003-01,1.6364,
2003-02,1.6299,
2003-03,1.5943,
2003-04,1.5851,
2003-05,1.6016,
2003-06,1.5798,
2003-07,1.5694,
2003-08,1.5570,
2003-09,1.5330,
2003-10,1.5489,
2003-11,1.5361,
2003-12,1.6131,
2004-01,1.6346,
2004-02,1.6817,
2004-03,1.6314,
2004-04,1.6068,
2004-05,1.6541,
2004-06,1.6492,
2004-07,1.6220,
2004-08,1.6007,
2004-09,1.5767,
2004-10,1.5600,
2004-11,1.5540,
2004-12,1.6333,
2005-01,1.6060,
2005-02,1.6128,
2005-03,1.6064,
2005-04,1.5991,
2005-05,1.5942,
2005-06,1.5111,
2005-07,1.4730,
2005-08,1.4819,
2005-09,1.4452,
2005-10,1.4149,
2005-11,1.3944,
2005-12,1.3778,
2006-01,1.4025,
2006-02,1.3723,
2006-03,1.3919,
2006-04,1.4052,
2006-05,1.4173,
2006-06,1.4089,
2006-07,1.4303,
2006-08,1.4338,
2006-09,1.4203,
2006-10,1.4235,
2006-11,1.4635,
2006-12,1.5212,
2007-01,1.5285,
2007-02,1.5309,
2007-03,1.5472,
2007-04,1.5334,
2007-05,1.4796,
2007-06,1.4293,
2007-07,1.4417,
2007-08,1.4420,
2007-09,1.4273,
2007-10,1.3891,
2007-11,1.4163,
2007-12,1.4620,
2008-01,1.4862,
2008-02,1.4740,
2008-03,1.5519,
2008-04,1.5965,
2008-05,1.5530,
2008-06,1.5803,
2008-07,1.5974,
2008-08,1.5765,
2008-09,1.5201,
2008-10,1.5646,
2008-11,1.5509,
2008-12,1.6600,
2009-01,1.6233,
2009-02,1.5940,
2009-03,1.6470,
2009-04,1.6188,
2009-05,1.5712,
2009-06,1.5761,
2009-07,1.5824,
2009-08,1.5522,
2009-09,1.5752,
2009-10,1.5619,
2009-11,1.5805,
2009-12,1.5397,
2010-01,1.4879,
2010-02,1.4454,
2010-03,1.3889,
2010-04,1.3467,
2010-05,1.3060,
2010-06,1.2674,
2010-07,1.3322,
2010-08,1.3411,
2010-09,1.3515,
2010-10,1.4152,
2010-11,1.3831,
2010-12,1.3327,
2011-01,1.3277,
2011-02,1.3484,
2011-03,1.3672,
2011-04,1.3834,
2011-05,1.3885,
2011-06,1.4063,
2011-07,1.3638,
2011-08,1.4071,
2011-09,1.3794,
2011-10,1.3981,
2011-11,1.3897,
2011-12,1.3481,
2012-01,1.3073,
2012-02,1.3193,
2012-03,1.3121,
2012-04,1.3068,
2012-05,1.2916,
2012-06,1.2874,
2012-07,1.2461,
2012-08,1.2315,
2012-09,1.2583,
2012-10,1.2801,
2012-11,1.2787,
2012-12,1.2984,
2013-01,1.3189,
2013-02,1.3477,
2013-03,1.3285,
2013-04,1.3268,
2013-05,1.3257,
2013-06,1.3596,
2013-07,1.3619,
2013-08,1.3853,
2013-09,1.3817,
2013-10,1.4128,
2013-11,1.4145,
2013-12,1.4580,
2014-01,1.4884,
2014-02,1.5094,
2014-03,1.5352,
2014-04,1.5181,
2014-05,1.4951,
2014-06,1.4728,
2014-07,1.4524,
2014-08,1.4548,
2014-09,1.4196,
2014-10,1.4214,
2014-11,1.4136,
2014-12,1.4216,
2015-01,1.4039,
2015-02,1.4199,
"","General: The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
