"",BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:21,
1991-01,1663.938,
1991-04,142.779,
1991-07,817.578,
1991-10,1434.576,
1992-01,-112.925,
1992-04,-107.305,
1992-07,1751.672,
1992-10,1941.495,
1993-01,187.853,
1993-04,1517.158,
1993-07,2061.419,
1993-10,2724.542,
1994-01,-648.976,
1994-04,-1096.651,
1994-07,-211.290,
1994-10,828.546,
1995-01,206.290,
1995-04,-1408.189,
1995-07,493.637,
1995-10,2869.772,
1996-01,-1923.566,
1996-04,117.047,
1996-07,1422.680,
1996-10,1261.165,
1997-01,-1850.244,
1997-04,-259.273,
1997-07,-748.981,
1997-10,65.109,
1998-01,-190.553,
1998-04,2501.830,
1998-07,3851.072,
1998-10,-2274.821,
1999-01,-370.221,
1999-04,389.643,
1999-07,-1896.526,
1999-10,-2285.449,
2000-01,1890.761,
2000-04,-82.773,
2000-07,1192.771,
2000-10,1088.410,
2001-01,5383.387,
2001-04,2008.072,
2001-07,2074.199,
2001-10,2227.411,
2002-01,2256.091,
2002-04,135.077,
2002-07,2514.189,
2002-10,394.798,
2003-01,-986.818,
2003-04,1441.454,
2003-07,1381.379,
2003-10,2078.598,
2004-01,1645.066,
2004-04,1125.101,
2004-07,-2263.516,
2004-10,1332.567,
2005-01,10134.223,
2005-04,1299.422,
2005-07,6724.305,
2005-10,4346.943,
2006-01,2554.448,
2006-04,6409.438,
2006-07,3309.981,
2006-10,15774.940,
2007-01,774.166,
2007-04,1526.458,
2007-07,7213.466,
2007-10,6633.384,
2008-01,10209.975,
2008-04,-119.904,
2008-07,4659.710,
2008-10,7974.905,
2009-01,2497.490,
2009-04,2388.754,
2009-07,-722.438,
2009-10,-1474.966,
2010-01,-864.789,
2010-04,-1621.356,
2010-07,-1796.042,
2010-10,-406.180,
2011-01,-3430.009,
2011-04,-4430.347,
2011-07,-434.358,
2011-10,1407.267,
2012-01,10071.097,
2012-04,9038.629,
2012-07,1411.834,
2012-10,8890.295,
2013-01,-4148.539,
2013-04,236.671,
2013-07,-775.621,
2013-10,-7258.100,
2014-01,-4750.755,Provisional value
2014-04,-385.739,Provisional value
2014-07,-1886.521,Provisional value
2014-10,-1062.193,Provisional value
