"",BBK01.OEAH39Q,BBK01.OEAH39Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:11,
2002-01,0.610,
2002-04,0.588,
2002-07,0.704,
2002-10,0.697,
2003-01,0.624,
2003-04,0.617,
2003-07,0.764,
2003-10,0.775,
2004-01,0.782,
2004-04,0.742,
2004-07,0.746,
2004-10,0.605,
2005-01,0.612,
2005-04,0.617,
2005-07,0.608,
2005-10,0.390,
2006-01,0.383,
2006-04,0.372,
2006-07,0.374,
2006-10,0.359,
2007-01,0.370,
2007-04,0.366,
2007-07,0.202,
2007-10,0.195,
2008-01,0.188,
2008-04,0.189,
2008-07,0.187,
2008-10,0.160,
2009-01,0.166,
2009-04,0.173,
2009-07,0.174,
2009-10,0.200,
2010-01,0.246,
2010-04,0.252,
2010-07,0.244,
2010-10,0.246,
2011-01,0.201,
2011-04,0.189,
2011-07,0.182,
2011-10,0.175,
2012-01,0.193,
2012-04,0.203,
2012-07,0.232,
2012-10,0.229,
2013-01,0.247,
2013-04,0.256,
2013-07,0.260,
2013-10,0.281,
2014-01,0.285,
2014-04,0.290,
2014-07,0.283,
