"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA._Z.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:23,
1991-01,-3494.161,
1991-02,5289.468,
1991-03,-4072.574,
1991-04,-10551.196,
1991-05,-4683.015,
1991-06,5646.440,
1991-07,-4980.803,
1991-08,2936.830,
1991-09,1865.255,
1991-10,2364.530,
1991-11,7529.595,
1991-12,9938.830,
1992-01,-7197.383,
1992-02,-2280.492,
1992-03,4870.468,
1992-04,-2329.506,
1992-05,-4177.396,
1992-06,1058.051,
1992-07,3521.836,
1992-08,1705.764,
1992-09,-621.406,
1992-10,7975.428,
1992-11,2837.520,
1992-12,1372.419,
1993-01,-6302.673,
1993-02,8828.539,
1993-03,15473.459,
1993-04,-2151.396,
1993-05,4386.503,
1993-06,17564.082,
1993-07,-3157.258,
1993-08,-11911.185,
1993-09,14451.684,
1993-10,1287.601,
1993-11,14947.952,
1993-12,35091.093,
1994-01,-7600.358,
1994-02,-3739.267,
1994-03,-13210.877,
1994-04,-7180.115,
1994-05,-1517.557,
1994-06,-3948.925,
1994-07,-3158.649,
1994-08,2747.958,
1994-09,1861.697,
1994-10,-3293.166,
1994-11,10424.664,
1994-12,18576.721,
1995-01,-11382.159,
1995-02,8732.941,
1995-03,2912.227,
1995-04,4140.431,
1995-05,5379.652,
1995-06,11641.880,
1995-07,-1937.565,
1995-08,12345.403,
1995-09,5524.688,
1995-10,-2753.976,
1995-11,7990.029,
1995-12,8674.455,
1996-01,-10243.616,
1996-02,6333.603,
1996-03,3592.239,
1996-04,-8304.472,
1996-05,5848.215,
1996-06,11292.217,
1996-07,-3501.556,
1996-08,3786.112,
1996-09,4876.907,
1996-10,-5953.565,
1996-11,15430.012,
1996-12,25156.988,
1997-01,-6502.696,
1997-02,7074.540,
1997-03,15772.331,
1997-04,1353.546,
1997-05,-3215.789,
1997-06,26081.668,
1997-07,4099.066,
1997-08,64.760,
1997-09,9103.601,
1997-10,10175.261,
1997-11,17800.378,
1997-12,18947.133,
1998-01,-6234.891,
1998-02,2633.582,
1998-03,13338.871,
1998-04,6752.543,
1998-05,9136.804,
1998-06,23427.868,
1998-07,-10654.409,
1998-08,22527.178,
1998-09,-7062.450,
1998-10,7610.747,
1998-11,23559.992,
1998-12,35065.428,
1999-01,71926.078,
1999-02,-51181.396,
1999-03,10587.696,
1999-04,8299.461,
1999-05,-3587.445,
1999-06,27557.908,
1999-07,16222.045,
1999-08,2851.215,
1999-09,12908.176,
1999-10,13990.123,
1999-11,20682.088,
1999-12,-19823.791,
2000-01,18239.591,
2000-02,11710.124,
2000-03,17008.282,
2000-04,12795.231,
2000-05,7708.546,
2000-06,-314.554,
2000-07,2481.938,
2000-08,24744.139,
2000-09,19625.989,
2000-10,16162.544,
2000-11,20391.960,
2000-12,29585.123,
2001-01,11430.558,
2001-02,17836.748,
2001-03,63447.611,
2001-04,10242.090,
2001-05,-15110.283,
2001-06,32122.527,
2001-07,-28414.680,
2001-08,34222.730,
2001-09,33232.126,
2001-10,7540.308,
2001-11,25636.612,
2001-12,-18453.160,
2002-01,-7553.607,
2002-02,-13036.316,
2002-03,30654.796,
2002-04,8526.953,
2002-05,40476.433,
2002-06,8122.198,
2002-07,3178.462,
2002-08,14090.394,
2002-09,36798.174,
2002-10,17862.462,
2002-11,46060.645,
2002-12,-31963.563,
2003-01,20205.486,
2003-02,35649.863,
2003-03,23050.150,
2003-04,23286.373,
2003-05,36623.617,
2003-06,22753.099,
2003-07,-28590.305,
2003-08,-25353.237,
2003-09,25782.581,
2003-10,-11206.629,
2003-11,25782.534,
2003-12,21882.901,
2004-01,26443.383,
2004-02,15742.412,
2004-03,19692.919,
2004-04,26801.302,
2004-05,4633.531,
2004-06,5073.129,
2004-07,-2802.889,
2004-08,11762.275,
2004-09,32703.725,
2004-10,33528.695,
2004-11,50676.611,
2004-12,-28835.255,
2005-01,45521.697,
2005-02,58124.423,
2005-03,-1513.327,
2005-04,79822.346,
2005-05,-10673.427,
2005-06,13043.856,
2005-07,1748.850,
2005-08,-12946.547,
2005-09,32924.825,
2005-10,22273.377,
2005-11,25916.528,
2005-12,-52301.527,
2006-01,74216.033,
2006-02,21637.156,
2006-03,46613.334,
2006-04,10166.697,
2006-05,10176.074,
2006-06,61284.775,
2006-07,-25955.640,
2006-08,7982.548,
2006-09,47718.957,
2006-10,12461.368,
2006-11,53039.668,
2006-12,35153.179,
2007-01,21232.861,
2007-02,51751.492,
