"",BBFN1.M.DE.N.1.L.DZ.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DZ.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Algeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:23,
1994-12,0.094,
1995-01,0.104,
1995-02,0.103,
1995-03,0.103,
1995-04,0.112,
1995-05,0.075,
1995-06,0.113,
1995-07,0.109,
1995-08,0.103,
1995-09,0.065,
1995-10,0.040,
1995-11,0.059,
1995-12,0.056,
1996-01,0.060,
1996-02,0.056,
1996-03,0.063,
1996-04,0.061,
1996-05,0.064,
1996-06,0.050,
1996-07,0.051,
1996-08,0.043,
1996-09,0.054,
1996-10,0.035,
1996-11,0.052,
1996-12,0.054,
1997-01,0.067,
1997-02,0.040,
1997-03,0.057,
1997-04,0.034,
1997-05,0.051,
1997-06,0.035,
1997-07,0.034,
1997-08,0.048,
1997-09,0.035,
1997-10,0.042,
1997-11,0.052,
1997-12,0.044,
1998-01,0.036,
1998-02,0.044,
1998-03,0.031,
1998-04,0.035,
1998-05,0.047,
1998-06,0.048,
1998-07,0.037,
1998-08,0.036,
1998-09,0.031,
1998-10,0.034,
1998-11,0.032,
1998-12,0.025,
1999-01,0.022,
1999-02,0.022,
1999-03,0.028,
1999-04,0.027,
1999-05,0.031,
1999-06,0.016,
1999-07,0.015,
1999-08,0.051,
1999-09,0.034,
1999-10,0.043,
1999-11,0.022,
1999-12,0.058,
2000-01,0.043,
2000-02,0.058,
2000-03,0.033,
2000-04,0.037,
2000-05,0.029,
2000-06,0.032,
2000-07,0.052,
2000-08,0.075,
2000-09,0.031,
2000-10,0.030,
2000-11,0.061,
2000-12,0.049,
2001-01,0.049,
2001-02,0.049,
2001-03,0.042,
2001-04,0.060,
2001-05,0.084,
2001-06,0.047,
2001-07,0.050,
2001-08,0.052,
2001-09,0.059,
2001-10,0.061,
2001-11,0.065,
2001-12,0.080,
2002-01,0.082,
2002-02,0.064,
2002-03,0.065,
2002-04,0.081,
2002-05,0.074,
2002-06,0.082,
2002-07,0.114,
2002-08,0.082,
2002-09,0.108,
2002-10,0.095,
2002-11,0.088,
2002-12,0.070,
2003-01,0.080,
2003-02,0.064,
2003-03,0.063,
2003-04,0.072,
2003-05,0.062,
2003-06,0.049,
2003-07,0.070,
2003-08,0.085,
2003-09,0.087,
2003-10,0.080,
2003-11,0.078,
2003-12,0.078,
2004-01,0.077,
2004-02,0.079,
2004-03,0.082,
2004-04,0.084,
2004-05,0.068,
2004-06,0.063,
2004-07,0.058,
2004-08,0.068,
2004-09,0.057,
2004-10,0.061,
2004-11,0.070,
2004-12,0.070,
2005-01,0.081,
2005-02,0.091,
2005-03,0.100,
2005-04,0.104,
2005-05,0.114,
2005-06,0.132,
2005-07,0.134,
2005-08,0.167,
2005-09,0.147,
2005-10,0.153,
2005-11,0.158,
2005-12,0.203,
2006-01,0.235,
2006-02,0.243,
2006-03,0.245,
2006-04,0.275,
2006-05,0.289,
2006-06,0.241,
2006-07,0.278,
2006-08,0.280,
2006-09,0.289,
2006-10,0.293,
2006-11,0.305,
2006-12,0.290,
2007-01,0.300,
2007-02,0.305,
2007-03,0.305,
2007-04,0.316,
2007-05,0.332,
2007-06,0.331,
2007-07,0.320,
2007-08,0.327,
2007-09,0.382,
2007-10,0.397,
2007-11,0.395,
2007-12,0.363,
2008-01,0.367,
2008-02,0.361,
2008-03,0.373,
2008-04,0.377,
2008-05,0.397,
2008-06,0.413,
2008-07,0.417,
2008-08,0.546,
2008-09,0.471,
2008-10,0.531,
2008-11,0.539,
2008-12,0.570,
2009-01,0.578,
2009-02,0.598,
2009-03,0.610,
2009-04,0.645,
2009-05,0.675,
2009-06,0.592,
2009-07,0.620,
2009-08,0.609,
2009-09,0.636,
2009-10,0.669,
2009-11,0.681,
2009-12,0.709,
2010-01,0.714,
2010-02,0.755,
2010-03,0.823,
2010-04,0.821,
2010-05,0.856,
2010-06,0.888,
2010-07,0.873,
2010-08,0.890,
2010-09,0.912,
2010-10,0.897,
2010-11,0.896,
2010-12,0.918,
2011-01,0.929,
2011-02,0.920,
2011-03,0.931,
2011-04,0.929,
2011-05,0.930,
2011-06,0.934,
2011-07,0.943,
2011-08,0.937,
2011-09,0.932,
2011-10,0.926,
2011-11,0.919,
2011-12,0.917,
2012-01,0.951,
2012-02,0.923,
2012-03,0.928,
2012-04,0.935,
2012-05,0.942,
2012-06,0.930,
2012-07,0.936,
2012-08,0.941,
2012-09,0.939,
2012-10,0.956,
2012-11,0.957,
2012-12,0.906,
2013-01,0.944,
2013-02,0.950,
2013-03,0.980,
2013-04,0.989,
2013-05,0.995,
2013-06,0.989,
2013-07,0.806,
2013-08,0.824,
2013-09,1.077,
2013-10,1.077,
2013-11,1.083,
2013-12,1.094,
2014-01,1.109,
2014-02,1.114,
2014-03,0.464,
2014-04,0.477,
2014-05,0.486,
2014-06,0.459,
2014-07,0.479,
2014-08,0.498,
2014-09,0.467,
2014-10,0.442,
2014-11,0.437,
2014-12,0.375,
