"",BBK01.OEBM04I,BBK01.OEBM04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:36,
2002-01,0.455,
2002-04,0.475,
2002-07,0.323,
2002-10,0.559,
2003-01,1.459,
2003-04,1.357,
2003-07,1.176,
2003-10,1.129,
2004-01,1.255,
2004-04,1.028,
2004-07,1.403,
2004-10,1.270,
2005-01,1.231,
2005-04,0.899,
2005-07,0.660,
2005-10,0.890,
2006-01,1.033,
2006-04,2.007,
2006-07,1.869,
2006-10,1.280,
2007-01,1.544,
2007-04,1.583,
2007-07,1.909,
2007-10,2.589,
2008-01,1.884,
2008-04,2.036,
2008-07,1.559,
2008-10,2.034,
2009-01,1.535,
2009-04,2.102,
2009-07,1.944,
2009-10,0.982,
2010-01,2.305,
2010-04,1.735,
2010-07,1.799,
2010-10,0.652,
2011-01,1.700,
2011-04,1.845,
2011-07,2.826,
2011-10,1.693,
2012-01,3.020,
2012-04,4.604,
2012-07,4.046,
2012-10,3.078,
2013-01,5.515,
2013-04,7.707,
2013-07,6.942,
2013-10,5.405,
2014-01,6.237,
2014-04,6.663,
2014-07,5.575,
