"",BBK01.OEHM09O,BBK01.OEHM09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:17,
2002-01,0.030,
2002-04,0.027,
2002-07,0.022,
2002-10,0.020,
2003-01,0.021,
2003-04,0.026,
2003-07,0.024,
2003-10,0.024,
2004-01,0.017,
2004-04,0.018,
2004-07,0.022,
2004-10,0.015,
2005-01,0.016,
2005-04,0.008,
2005-07,0.009,
2005-10,0.010,
2006-01,0.012,
2006-04,0.014,
2006-07,0.016,
2006-10,0.013,
2007-01,0.013,
2007-04,0.008,
2007-07,0.004,
2007-10,0.004,
2008-01,0.005,
2008-04,0.016,
2008-07,0.018,
2008-10,0.024,
2009-01,0.025,
2009-04,0.022,
2009-07,0.011,
2009-10,0.010,
2010-01,0.007,
2010-04,0.009,
2010-07,0.023,
2010-10,0.022,
2011-01,0.021,
2011-04,0.018,
2011-07,0.003,
2011-10,0.002,
2012-01,0.008,
2012-04,0.009,
2012-07,0.011,
2012-10,0.013,
2013-01,0.034,
2013-04,0.035,
2013-07,0.036,
2013-10,0.035,
2014-01,0.036,
2014-04,0.029,
2014-07,0.033,
