"",BBK01.OEAH76O,BBK01.OEAH76O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:15,
2002-01,0.068,
2002-04,0.061,
2002-07,0.063,
2002-10,0.075,
2003-01,0.025,
2003-04,0.022,
2003-07,0.019,
2003-10,0.018,
2004-01,0.031,
2004-04,0.034,
2004-07,0.041,
2004-10,0.030,
2005-01,0.027,
2005-04,0.023,
2005-07,0.017,
2005-10,0.011,
2006-01,0.011,
2006-04,0.040,
2006-07,0.072,
2006-10,0.057,
2007-01,0.062,
2007-04,0.283,
2007-07,0.289,
2007-10,0.282,
2008-01,0.283,
2008-04,0.179,
2008-07,0.069,
2008-10,0.056,
2009-01,0.052,
2009-04,0.056,
2009-07,0.055,
2009-10,0.076,
2010-01,0.063,
2010-04,0.045,
2010-07,0.037,
2010-10,0.039,
2011-01,0.050,
2011-04,0.022,
2011-07,0.036,
2011-10,0.034,
2012-01,0.040,
2012-04,0.083,
2012-07,0.067,
2012-10,0.075,
2013-01,0.074,
2013-04,0.052,
2013-07,0.058,
2013-10,0.055,
2014-01,0.049,
2014-04,0.048,
2014-07,0.086,
