"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.IE.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.IE.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Ireland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:45,
2009-09,2881,
2009-10,3052,
2009-11,2935,
2009-12,2890,
2010-01,2828,
2010-02,3073,
2010-03,3055,
2010-04,2837,
2010-05,2954,
2010-06,3043,
2010-07,3219,
2010-08,3124,
2010-09,2421,
2010-10,2466,
2010-11,2261,
2010-12,2197,
2011-01,2100,
2011-02,2148,
2011-03,2116,
2011-04,2066,
2011-05,2126,
2011-06,2139,
2011-07,2118,
2011-08,1942,
2011-09,1850,
2011-10,1840,
2011-11,1766,
2011-12,1705,
2012-01,1728,
2012-02,1767,
2012-03,1709,
2012-04,1671,
2012-05,1712,
2012-06,1680,
2012-07,1806,
2012-08,1827,
2012-09,1997,
2012-10,2056,
2012-11,2232,
2012-12,2179,
2013-01,2307,
2013-02,2400,
2013-03,2653,
2013-04,2788,
2013-05,2686,
2013-06,2583,
2013-07,2444,
2013-08,2441,
2013-09,2570,
2013-10,2517,
2013-11,2582,
2013-12,2539,
2014-01,2603,
2014-02,2594,
2014-03,2709,
2014-04,2712,
2014-05,2702,
2014-06,2746,
2014-07,2675,
2014-08,2727,
2014-09,2658,
2014-10,2608,
2014-11,2694,
