"",BBK01.OEBO02U,BBK01.OEBO02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:57,
2002-01,0.339,
2002-04,0.290,
2002-07,0.262,
2002-10,0.295,
2003-01,0.302,
2003-04,0.237,
2003-07,0.267,
2003-10,0.254,
2004-01,0.270,
2004-04,0.236,
2004-07,0.250,
2004-10,0.252,
2005-01,0.411,
2005-04,0.309,
2005-07,0.299,
2005-10,0.294,
2006-01,0.375,
2006-04,0.344,
2006-07,0.299,
2006-10,0.370,
2007-01,0.572,
2007-04,0.363,
2007-07,0.343,
2007-10,0.454,
2008-01,0.480,
2008-04,0.450,
2008-07,0.385,
2008-10,0.582,
2009-01,0.464,
2009-04,0.352,
2009-07,0.415,
2009-10,0.383,
2010-01,0.389,
2010-04,0.278,
2010-07,0.243,
2010-10,0.349,
2011-01,0.368,
2011-04,0.263,
2011-07,0.265,
2011-10,0.263,
2012-01,0.423,
2012-04,0.234,
2012-07,0.289,
2012-10,0.274,
2013-01,0.312,
2013-04,0.213,
2013-07,0.198,
2013-10,0.205,
2014-01,0.203,
2014-04,0.161,
2014-07,0.304,
