"",BBEX3.M.DJF.USD.CA.AB.A01,BBEX3.M.DJF.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Djibouti / USD 1 = DJF ... (selling),
unit,DJF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:00,
1974-12,179.480,
1975-01,179.480,
1975-02,179.480,
1975-03,179.480,
1975-04,179.480,
1975-05,179.480,
1975-06,179.480,
1975-07,179.480,
1975-08,179.480,
1975-09,179.480,
1975-10,179.480,
1975-11,179.480,
1975-12,179.480,
1976-01,179.480,
1976-02,179.480,
1976-03,179.480,
1976-04,179.480,
1976-05,179.480,
1976-06,179.480,
1976-07,179.480,
1976-08,179.480,
1976-09,179.480,
1976-10,179.480,
1976-11,179.480,
1976-12,179.480,
1977-01,179.480,
1977-02,179.480,
1977-03,179.480,
1977-04,179.480,
1977-05,179.480,
1977-06,179.480,
1977-07,179.480,
1977-08,179.480,
1977-09,179.480,
1977-10,179.480,
1977-11,179.480,
1977-12,179.480,
1978-01,179.480,
1978-02,179.480,
1978-03,179.480,
1978-04,179.480,
1978-05,179.480,
1978-06,179.480,
1978-07,179.480,
1978-08,179.480,
1978-09,179.480,
1978-10,179.480,
1978-11,179.480,
1978-12,179.480,
1979-01,179.480,
1979-02,179.480,
1979-03,179.480,
1979-04,179.480,
1979-05,179.480,
1979-06,179.480,
1979-07,179.480,
1979-08,179.480,
1979-09,179.480,
1979-10,179.480,
1979-11,179.480,
1979-12,179.480,
1980-01,179.480,
1980-02,179.480,
1980-03,179.480,
1980-04,179.480,
1980-05,179.480,
1980-06,179.480,
1980-07,179.480,
1980-08,179.480,
1980-09,179.480,
1980-10,179.480,
1980-11,179.480,
1980-12,179.480,
1981-01,179.480,
1981-02,179.480,
1981-03,179.480,
1981-04,179.480,
1981-05,179.480,
1981-06,179.480,
1981-07,179.480,
1981-08,179.480,
1981-09,179.480,
1981-10,179.480,
1981-11,179.480,
1981-12,179.480,
1982-01,179.480,
1982-02,179.480,
1982-03,179.480,
1982-04,179.480,
1982-05,179.480,
1982-06,179.480,
1982-07,179.480,
1982-08,179.480,
1982-09,179.480,
1982-10,179.480,
1982-11,179.480,
1982-12,179.480,
1983-01,179.480,
1983-02,179.480,
1983-03,179.480,
1983-04,179.480,
1983-05,179.480,
1983-06,179.480,
1983-07,179.480,
1983-08,179.480,
1983-09,179.480,
1983-10,179.480,
1983-11,179.480,
1983-12,179.480,
1984-01,179.480,
1984-02,179.480,
1984-03,179.480,
1984-04,179.480,
