"",BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:38,
1991-01,-26.635,
1991-04,-0.567,
1991-07,60.646,
1991-10,6.326,
1992-01,105.931,
1992-04,29.491,
1992-07,89.651,
1992-10,136.666,
1993-01,221.462,
1993-04,103.765,
1993-07,-7.731,
1993-10,35.908,
1994-01,14.638,
1994-04,28.607,
1994-07,29.389,
1994-10,0.879,
1995-01,-2.178,
1995-04,10.628,
1995-07,28.193,
1995-10,-27.790,
1996-01,34.100,
1996-04,-13.855,
1996-07,-19.563,
1996-10,46.608,
1997-01,14.084,
1997-04,-19.080,
1997-07,-6.301,
1997-10,1.308,
1998-01,-16.709,
1998-04,-45.207,
1998-07,-8.855,
1998-10,17.538,
1999-01,-0.692,
1999-04,-3.173,
1999-07,-52.681,
1999-10,15.951,
2000-01,22.687,
2000-04,7.618,
2000-07,-43.225,
2000-10,14.403,
2001-01,23.404,
2001-04,-9.516,
2001-07,-40.266,
2001-10,-7.908,
2002-01,-53.825,
2002-04,-17.266,
2002-07,-15.785,
2002-10,283.689,
2003-01,-128.058,
2003-04,-63.000,
2003-07,-47.150,
2003-10,2.287,
2004-01,-2.748,
2004-04,3.759,
2004-07,-0.375,
2004-10,-32.239,
2005-01,-31.008,
2005-04,14.351,
2005-07,97.121,
2005-10,-4.670,
2006-01,-15.379,
2006-04,21.478,
2006-07,-0.597,
2006-10,39.739,
2007-01,-31.913,
2007-04,244.265,
2007-07,-36.760,
2007-10,27.709,
2008-01,931.229,
2008-04,-7.710,
2008-07,-4.263,
2008-10,32.372,
2009-01,-825.385,
2009-04,461.166,
2009-07,68.774,
2009-10,27.557,
2010-01,-43.880,
2010-04,109.231,
2010-07,-53.008,
2010-10,-63.844,
2011-01,-59.613,
2011-04,-362.107,
2011-07,-127.266,
2011-10,-140.149,
2012-01,4.005,
2012-04,-4.668,
2012-07,-10.869,
2012-10,179.374,
2013-01,-77.307,
2013-04,491.076,
2013-07,-197.551,
2013-10,58.235,
2014-01,-101.536,Provisional value
2014-04,128.505,Provisional value
2014-07,-1.431,Provisional value
2014-10,46.828,Provisional value
