"",BBFB1.M.N.DE.W1.S1.S1.T.D.SH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SH._Z._Z._Z._T._X.N_FLAGS
"",Current account / Charges for the use of intellectual property / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:36,
1991-01,263.887,
1991-02,349.720,
1991-03,259.376,
1991-04,226.930,
1991-05,376.197,
1991-06,253.535,
1991-07,251.067,
1991-08,279.876,
1991-09,262.142,
1991-10,226.492,
1991-11,328.384,
1991-12,299.278,
1992-01,409.715,
1992-02,272.665,
1992-03,263.227,
1992-04,280.756,
1992-05,258.728,
1992-06,261.531,
1992-07,295.281,
1992-08,265.903,
1992-09,224.432,
1992-10,290.691,
1992-11,236.849,
1992-12,258.375,
1993-01,409.969,
1993-02,280.005,
1993-03,287.154,
1993-04,320.791,
1993-05,222.574,
1993-06,248.161,
1993-07,300.003,
1993-08,205.202,
1993-09,220.365,
1993-10,350.002,
1993-11,285.933,
1993-12,285.985,
1994-01,346.196,
1994-02,266.195,
1994-03,305.024,
1994-04,291.319,
1994-05,291.363,
1994-06,251.786,
1994-07,310.013,
1994-08,253.164,
1994-09,283.299,
1994-10,282.072,
1994-11,310.730,
1994-12,265.888,
1995-01,390.193,
1995-02,295.031,
1995-03,656.143,
1995-04,254.598,
1995-05,285.342,
1995-06,274.294,
1995-07,293.178,
1995-08,261.091,
1995-09,271.617,
1995-10,311.145,
1995-11,317.143,
1995-12,237.128,
1996-01,321.775,
1996-02,276.570,
1996-03,245.771,
1996-04,315.776,
1996-05,344.919,
1996-06,205.094,
1996-07,247.423,
1996-08,310.567,
1996-09,188.579,
1996-10,248.318,
1996-11,307.362,
1996-12,599.934,
1997-01,342.440,
1997-02,290.979,
1997-03,304.877,
1997-04,258.021,
1997-05,919.873,
1997-06,215.784,
1997-07,288.342,
1997-08,507.707,
1997-09,220.536,
1997-10,425.233,
1997-11,321.763,
1997-12,298.977,
1998-01,448.160,
1998-02,320.310,
1998-03,334.109,
1998-04,484.078,
1998-05,379.207,
1998-06,277.532,
1998-07,439.837,
1998-08,320.989,
1998-09,273.005,
1998-10,421.755,
1998-11,346.715,
1998-12,360.778,
1999-01,334.008,
1999-02,344.995,
1999-03,352.732,
1999-04,371.884,
1999-05,269.020,
1999-06,220.905,
1999-07,413.048,
1999-08,332.421,
1999-09,255.941,
1999-10,384.500,
1999-11,508.047,
1999-12,337.648,
2000-01,431.323,
2000-02,449.361,
2000-03,298.084,
2000-04,385.027,
2000-05,366.193,
2000-06,227.927,
2000-07,237.833,
2000-08,536.561,
2000-09,453.180,
2000-10,556.687,
2000-11,399.095,
2000-12,455.970,
2001-01,590.437,
2001-02,500.749,
2001-03,479.124,
2001-04,302.110,
2001-05,463.579,
2001-06,281.191,
2001-07,472.375,
2001-08,369.423,
2001-09,252.842,
2001-10,382.427,
2001-11,436.701,
2001-12,274.159,
2002-01,433.519,
2002-02,379.071,
2002-03,356.932,
2002-04,415.868,
2002-05,344.133,
2002-06,236.597,
2002-07,257.911,
2002-08,300.100,
2002-09,253.972,
2002-10,263.380,
2002-11,261.864,
2002-12,280.536,
2003-01,293.751,
2003-02,318.409,
2003-03,310.052,
2003-04,320.920,
2003-05,251.845,
2003-06,244.786,
2003-07,368.032,
2003-08,311.787,
2003-09,295.719,
2003-10,315.007,
2003-11,374.548,
2003-12,234.901,
2004-01,316.180,
2004-02,321.698,
2004-03,358.525,
2004-04,320.146,
2004-05,291.615,
2004-06,222.041,
2004-07,279.494,
2004-08,272.182,
2004-09,283.316,
2004-10,280.155,
2004-11,343.221,
2004-12,335.613,
2005-01,437.757,
2005-02,269.563,
2005-03,354.684,
2005-04,659.334,
2005-05,254.764,
2005-06,220.200,
2005-07,686.059,
2005-08,391.845,
2005-09,312.473,
2005-10,852.670,
2005-11,454.923,
2005-12,957.662,
2006-01,916.234,
2006-02,362.807,
2006-03,372.457,
2006-04,498.462,
2006-05,340.388,
2006-06,217.876,
2006-07,506.920,
2006-08,504.740,
2006-09,276.365,
2006-10,876.613,
2006-11,364.219,
2006-12,409.640,
2007-01,739.282,
2007-02,353.070,
2007-03,394.363,
2007-04,753.428,
2007-05,323.016,
2007-06,200.747,
2007-07,736.381,
2007-08,427.094,
2007-09,285.809,
2007-10,656.837,
2007-11,341.825,
2007-12,270.305,
2008-01,767.055,
2008-02,346.253,
2008-03,309.342,
2008-04,758.477,
2008-05,310.768,
2008-06,262.777,
2008-07,801.730,
2008-08,409.055,
2008-09,271.439,
2008-10,561.551,
2008-11,421.273,
2008-12,678.738,
2009-01,521.128,
2009-02,289.722,
2009-03,380.536,
2009-04,566.473,
2009-05,338.878,
2009-06,388.247,
2009-07,430.519,
2009-08,279.973,
2009-09,539.188,
2009-10,456.355,
2009-11,284.775,
2009-12,547.948,
2010-01,491.057,
2010-02,258.889,
2010-03,600.342,
2010-04,388.287,
2010-05,285.870,
2010-06,488.637,
2010-07,574.238,
2010-08,339.205,
2010-09,420.174,
2010-10,569.841,
2010-11,465.086,
2010-12,473.283,
2011-01,505.468,
2011-02,304.077,
2011-03,685.405,
2011-04,297.049,
2011-05,428.911,
2011-06,430.548,
2011-07,348.739,
2011-08,470.250,
2011-09,563.107,
2011-10,302.818,
2011-11,355.281,
2011-12,608.783,
2012-01,344.414,
2012-02,453.820,
2012-03,613.758,
2012-04,268.284,
2012-05,393.657,
2012-06,400.366,
2012-07,354.343,
