"",BBK01.OEBL02R,BBK01.OEBL02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:10,
2002-01,0.489,
2002-04,0.523,
2002-07,0.510,
2002-10,0.531,
2003-01,0.521,
2003-04,0.522,
2003-07,0.533,
2003-10,0.558,
2004-01,0.564,
2004-04,0.565,
2004-07,0.563,
2004-10,0.580,
2005-01,0.694,
2005-04,0.694,
2005-07,0.707,
2005-10,0.744,
2006-01,0.757,
2006-04,0.743,
2006-07,0.723,
2006-10,0.738,
2007-01,0.747,
2007-04,0.776,
2007-07,0.788,
2007-10,0.783,
2008-01,0.736,
2008-04,0.744,
2008-07,0.758,
2008-10,0.831,
2009-01,0.848,
2009-04,0.884,
2009-07,0.909,
2009-10,1.004,
2010-01,0.984,
2010-04,1.035,
2010-07,1.067,
2010-10,1.097,
2011-01,1.059,
2011-04,1.095,
2011-07,1.152,
2011-10,1.185,
2012-01,1.176,
2012-04,1.198,
2012-07,1.237,
2012-10,1.294,
2013-01,1.355,
2013-04,1.380,
2013-07,1.406,
2013-10,1.441,
2014-01,1.473,
2014-04,1.526,
2014-07,1.570,
