"",BBK01.OEAJ03L,BBK01.OEAJ03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:12,
2002-01,111.305,
2002-04,114.233,
2002-07,116.470,
2002-10,116.029,
2003-01,115.970,
2003-04,117.291,
2003-07,125.169,
2003-10,122.730,
2004-01,118.985,
2004-04,120.662,
2004-07,121.562,
2004-10,124.246,
2005-01,124.633,
2005-04,129.604,
2005-07,130.878,
2005-10,126.779,
2006-01,137.056,
2006-04,136.056,
2006-07,137.529,
2006-10,130.926,
2007-01,129.161,
2007-04,131.459,
2007-07,136.671,
2007-10,145.613,
2008-01,146.363,
2008-04,146.471,
2008-07,150.678,
2008-10,168.357,
2009-01,166.796,
2009-04,158.979,
2009-07,151.274,
2009-10,146.148,
2010-01,143.456,
2010-04,144.523,
2010-07,146.622,
2010-10,170.667,
2011-01,161.690,
2011-04,180.555,
2011-07,174.056,
2011-10,170.426,
2012-01,158.547,
2012-04,154.299,
2012-07,146.599,
2012-10,145.931,
2013-01,149.159,
2013-04,161.901,
2013-07,129.017,
2013-10,127.073,
2014-01,128.276,
2014-04,124.854,
2014-07,125.549,
