"",BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / Rest of the World / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:37,
1990-07,28.83,
1990-08,28.80,
1990-09,29.12,
1990-10,29.25,
1990-11,28.73,
1990-12,29.12,
1991-01,30.18,
1991-02,28.54,
1991-03,28.43,
1991-04,26.08,
1991-05,28.63,
1991-06,27.40,
1991-07,28.72,
1991-08,29.80,
1991-09,28.26,
1991-10,28.31,
1991-11,29.86,
1991-12,29.92,
1992-01,29.09,
1992-02,29.35,
1992-03,29.81,
1992-04,30.44,
1992-05,27.69,
1992-06,26.19,
1992-07,29.21,
1992-08,28.98,
1992-09,28.43,
1992-10,28.60,
1992-11,26.81,
1992-12,27.35,
1993-01,25.84,
1993-02,28.52,
1993-03,26.22,
1993-04,26.30,
1993-05,26.37,
1993-06,26.13,
1993-07,26.10,
1993-08,26.82,
1993-09,27.14,
1993-10,27.24,
1993-11,27.20,
1993-12,28.01,
1994-01,27.61,
1994-02,27.95,
1994-03,28.62,
1994-04,28.96,
1994-05,30.08,
1994-06,30.08,
1994-07,28.73,
1994-08,30.67,
1994-09,30.20,
1994-10,30.13,
1994-11,30.05,
1994-12,31.07,
1995-01,31.45,
1995-02,31.64,
1995-03,31.01,
1995-04,31.50,
1995-05,31.72,
1995-06,32.51,
1995-07,31.13,
1995-08,31.29,
1995-09,33.88,
1995-10,32.18,
1995-11,31.92,
1995-12,33.00,
1996-01,33.33,
1996-02,32.53,
1996-03,32.26,
1996-04,33.01,
1996-05,32.99,
1996-06,32.38,
1996-07,34.43,
1996-08,33.19,
1996-09,34.23,
1996-10,35.52,
1996-11,34.63,
1996-12,35.60,
1997-01,35.06,
1997-02,36.04,
1997-03,36.84,
1997-04,35.10,
1997-05,37.91,
1997-06,37.73,
1997-07,38.84,
1997-08,38.38,
1997-09,40.75,
1997-10,38.97,
1997-11,39.39,
1997-12,40.83,
1998-01,41.14,
1998-02,40.78,
1998-03,39.95,
1998-04,42.33,
1998-05,40.82,
1998-06,41.16,
1998-07,42.12,
