"",BBK01.OEBB20G,BBK01.OEBB20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:39,
2002-01,30.369,
2002-04,30.858,
2002-07,31.263,
2002-10,32.001,
2003-01,32.296,
2003-04,32.559,
2003-07,33.132,
2003-10,33.677,
2004-01,34.018,
2004-04,35.301,
2004-07,38.999,
2004-10,40.147,
2005-01,21.403,
2005-04,21.726,
2005-07,15.822,
2005-10,16.018,
2006-01,16.336,
2006-04,16.313,
2006-07,16.566,
2006-10,16.779,
2007-01,16.930,
2007-04,17.318,
2007-07,17.465,
2007-10,17.367,
2008-01,17.453,
2008-04,17.754,
2008-07,17.813,
2008-10,17.807,
2009-01,17.901,
2009-04,19.981,
2009-07,20.134,
2009-10,19.987,
2010-01,19.930,
2010-04,19.842,
2010-07,19.817,
2010-10,19.452,
2011-01,19.774,
2011-04,19.675,
2011-07,19.612,
2011-10,19.645,
2012-01,19.564,
2012-04,19.559,
2012-07,19.573,
2012-10,19.533,
2013-01,19.610,
2013-04,19.629,
2013-07,19.673,
2013-10,19.734,
2014-01,19.811,
2014-04,20.081,
2014-07,20.298,
