"",BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:25,
1991-01,438.180,
1991-04,240.397,
1991-07,19.108,
1991-10,-0.599,
1992-01,-33.447,
1992-04,11.267,
1992-07,234.512,
1992-10,246.412,
1993-01,80.708,
1993-04,-0.952,
1993-07,-125.669,
1993-10,503.031,
1994-01,-275.537,
1994-04,-23.138,
1994-07,-200.476,
1994-10,-229.322,
1995-01,-343.774,
1995-04,-322.808,
1995-07,-92.967,
1995-10,-72.895,
1996-01,-50.004,
1996-04,0.317,
1996-07,15.603,
1996-10,41.308,
1997-01,-98.641,
1997-04,58.508,
1997-07,-208.470,
1997-10,-1.324,
1998-01,7.289,
1998-04,0.960,
1998-07,309.260,
1998-10,-142.521,
1999-01,-29.536,
1999-04,-57.030,
1999-07,21.232,
1999-10,10.994,
2000-01,-6.555,
2000-04,2.930,
2000-07,50.794,
2000-10,216.953,
2001-01,-23.386,
2001-04,256.105,
2001-07,544.320,
2001-10,8.139,
2002-01,193.277,
2002-04,203.394,
2002-07,318.035,
2002-10,693.725,
2003-01,-1041.731,
2003-04,103.871,
2003-07,66.896,
2003-10,865.512,
2004-01,1143.788,
2004-04,117.765,
2004-07,-819.377,
2004-10,950.321,
2005-01,426.549,
2005-04,352.473,
2005-07,179.615,
2005-10,876.581,
2006-01,589.006,
2006-04,865.378,
2006-07,305.366,
2006-10,-536.404,
2007-01,826.956,
2007-04,-192.631,
2007-07,1124.880,
2007-10,1646.903,
2008-01,2005.868,
2008-04,133.104,
2008-07,862.728,
2008-10,5243.426,
2009-01,-204.238,
2009-04,897.982,
2009-07,73.913,
2009-10,-1587.634,
2010-01,-348.657,
2010-04,-314.389,
2010-07,388.540,
2010-10,301.488,
2011-01,371.832,
2011-04,-65.723,
2011-07,8.478,
2011-10,-82.461,
2012-01,-1416.963,
2012-04,-271.228,
2012-07,-167.916,
2012-10,-295.117,
2013-01,-229.689,
2013-04,183.169,
2013-07,-60.443,
2013-10,-1750.729,
2014-01,-983.036,Provisional value
2014-04,541.845,Provisional value
2014-07,352.620,Provisional value
2014-10,-634.809,Provisional value
