"",BBK01.OEBL02L,BBK01.OEBL02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:07,
2002-01,16.128,
2002-04,19.430,
2002-07,20.623,
2002-10,22.298,
2003-01,27.474,
2003-04,30.796,
2003-07,31.506,
2003-10,31.507,
2004-01,36.671,
2004-04,43.944,
2004-07,45.490,
2004-10,48.405,
2005-01,50.455,
2005-04,53.475,
2005-07,53.295,
2005-10,55.121,
2006-01,54.965,
2006-04,56.105,
2006-07,51.496,
2006-10,51.444,
2007-01,49.850,
2007-04,49.552,
2007-07,48.024,
2007-10,47.941,
2008-01,46.601,
2008-04,44.960,
2008-07,44.990,
2008-10,40.760,
2009-01,46.637,
2009-04,44.704,
2009-07,52.433,
2009-10,58.472,
2010-01,59.426,
2010-04,62.348,
2010-07,62.453,
2010-10,64.152,
2011-01,68.870,
2011-04,68.967,
2011-07,68.397,
2011-10,69.060,
2012-01,70.887,
2012-04,72.739,
2012-07,78.900,
2012-10,84.766,
2013-01,91.655,
2013-04,94.655,
2013-07,99.381,
2013-10,104.082,
2014-01,107.237,
2014-04,109.006,
2014-07,109.498,
