"",BBK01.OEHB19M,BBK01.OEHB19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:03,
2002-01,1.001,
2002-04,1.001,
2002-07,1.009,
2002-10,0.985,
2003-01,0.990,
2003-04,0.984,
2003-07,0.982,
2003-10,0.958,
2004-01,0.939,
2004-04,0.929,
2004-07,0.926,
2004-10,0.910,
2005-01,0.864,
2005-04,0.866,
2005-07,0.869,
2005-10,0.863,
2006-01,0.849,
2006-04,0.848,
2006-07,0.844,
2006-10,0.827,
2007-01,0.806,
2007-04,0.791,
2007-07,0.783,
2007-10,0.758,
2008-01,0.741,
2008-04,0.737,
2008-07,0.722,
2008-10,0.693,
2009-01,0.683,
2009-04,0.661,
2009-07,0.642,
2009-10,0.636,
2010-01,0.628,
2010-04,0.617,
2010-07,0.634,
2010-10,0.651,
2011-01,0.655,
2011-04,0.668,
2011-07,0.680,
2011-10,0.679,
2012-01,0.693,
2012-04,0.706,
2012-07,0.720,
2012-10,0.716,
2013-01,0.719,
2013-04,0.726,
2013-07,0.745,
2013-10,0.740,
2014-01,0.744,
2014-04,0.750,
2014-07,0.764,
