"",BBK01.OEGK03I,BBK01.OEGK03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:15,
2002-01,1.923,
2002-04,1.855,
2002-07,1.846,
2002-10,1.794,
2003-01,1.778,
2003-04,1.643,
2003-07,1.713,
2003-10,1.655,
2004-01,1.649,
2004-04,1.233,
2004-07,0.114,
2004-10,0.108,
2005-01,0.104,
2005-04,0.096,
2005-07,0.094,
2005-10,0.092,
2006-01,0.086,
2006-04,0.084,
2006-07,0.104,
2006-10,0.080,
2007-01,0.094,
2007-04,0.121,
2007-07,0.190,
2007-10,0.234,
2008-01,0.239,
2008-04,0.269,
2008-07,0.264,
2008-10,0.212,
2009-01,0.074,
2009-04,0.058,
2009-07,0.047,
2009-10,0.043,
2010-01,0.036,
2010-04,0.033,
2010-07,0.036,
2010-10,0.037,
2011-01,0.035,
2011-04,0.038,
2011-07,0.023,
2011-10,0.026,
2012-01,0.028,
2012-04,0.024,
2012-07,0.023,
2012-10,0.024,
2013-01,0.023,
2013-04,0.022,
2013-07,0.022,
2013-10,0.022,
2014-01,0.022,
2014-04,0.022,
2014-07,0.023,
