"",BBFB1.M.N.DE.W1.S1.S1.T.D.G___AA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G___AA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To imports / Additions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:52,
1991-01,890.207,
1991-02,596.403,
1991-03,943.711,
1991-04,578.110,
1991-05,1227.579,
1991-06,718.769,
1991-07,1191.395,
1991-08,920.197,
1991-09,814.083,
1991-10,1022.571,
1991-11,753.445,
1991-12,549.892,
1992-01,964.072,
1992-02,646.435,
1992-03,569.746,
1992-04,638.557,
1992-05,750.426,
1992-06,649.917,
1992-07,862.125,
1992-08,534.227,
1992-09,1089.768,
1992-10,589.149,
1992-11,824.598,
1992-12,673.996,
1993-01,679.863,
1993-02,614.970,
1993-03,621.992,
1993-04,907.976,
1993-05,848.432,
1993-06,678.191,
1993-07,1033.897,
1993-08,704.158,
1993-09,394.204,
1993-10,686.510,
1993-11,974.314,
1993-12,705.425,
1994-01,751.821,
1994-02,552.449,
1994-03,778.556,
1994-04,885.497,
1994-05,779.745,
1994-06,980.799,
1994-07,970.767,
1994-08,933.602,
1994-09,752.456,
1994-10,990.661,
1994-11,910.906,
1994-12,867.969,
1995-01,832.074,
1995-02,587.207,
1995-03,903.109,
1995-04,697.397,
1995-05,1054.415,
1995-06,870.031,
1995-07,929.069,
1995-08,876.304,
1995-09,669.572,
1995-10,1116.950,
1995-11,1216.132,
1995-12,1203.128,
1996-01,1192.261,
1996-02,834.864,
1996-03,785.978,
1996-04,757.172,
1996-05,709.447,
1996-06,1032.379,
1996-07,769.421,
1996-08,878.029,
1996-09,959.534,
1996-10,852.536,
1996-11,647.851,
1996-12,1348.461,
1997-01,888.560,
1997-02,789.906,
1997-03,738.181,
1997-04,978.714,
1997-05,832.389,
1997-06,978.083,
1997-07,1056.878,
1997-08,1126.574,
1997-09,1296.839,
1997-10,848.535,
1997-11,757.995,
1997-12,849.355,
1998-01,1007.382,
1998-02,1020.214,
1998-03,1063.217,
1998-04,952.343,
1998-05,1086.434,
1998-06,821.177,
1998-07,1326.789,
1998-08,1047.577,
1998-09,1153.340,
1998-10,818.201,
1998-11,606.587,
1998-12,663.258,
1999-01,2252.796,
1999-02,769.315,
1999-03,1038.208,
1999-04,1154.910,
1999-05,1166.187,
1999-06,965.254,
1999-07,1279.030,
1999-08,2231.679,
1999-09,1544.712,
1999-10,1142.429,
1999-11,1474.268,
1999-12,1616.823,
2000-01,1381.711,
2000-02,1531.192,
2000-03,1654.222,
2000-04,1148.732,
2000-05,1468.080,
2000-06,1260.544,
2000-07,1495.698,
2000-08,1743.875,
2000-09,1810.760,
2000-10,1759.256,
2000-11,1397.198,
2000-12,2249.596,
2001-01,1312.672,
2001-02,1466.276,
2001-03,1481.507,
2001-04,1894.237,
2001-05,1422.215,
2001-06,1602.412,
2001-07,1800.368,
2001-08,1873.305,
2001-09,1579.863,
2001-10,1526.858,
2001-11,1794.132,
2001-12,1596.846,
2002-01,1458.202,
2002-02,1602.931,
2002-03,1558.365,
2002-04,2113.626,
2002-05,2246.606,
2002-06,1200.062,
2002-07,1675.822,
2002-08,1562.605,
2002-09,1424.574,
2002-10,1438.670,
2002-11,1721.285,
2002-12,1689.342,
2003-01,1860.924,
2003-02,1627.415,
2003-03,1217.123,
2003-04,1641.810,
2003-05,1472.826,
2003-06,1484.075,
2003-07,1850.608,
2003-08,1325.368,
2003-09,1467.834,
2003-10,1992.950,
2003-11,1889.444,
2003-12,1655.225,
2004-01,2327.510,
2004-02,2133.301,
2004-03,1818.839,
2004-04,1950.869,
2004-05,1945.681,
2004-06,2185.437,
2004-07,2135.720,
2004-08,2132.951,
2004-09,2141.964,
2004-10,2152.287,
2004-11,2416.169,
2004-12,2126.537,
2005-01,1767.399,
2005-02,2168.353,
2005-03,1637.443,
2005-04,2418.081,
2005-05,1904.829,
2005-06,2465.373,
2005-07,2494.745,
2005-08,2014.621,
2005-09,2688.832,
2005-10,2327.022,
2005-11,3033.259,
2005-12,2152.902,
2006-01,2969.746,
2006-02,2612.204,
2006-03,2872.477,
2006-04,2595.867,
2006-05,2865.618,
2006-06,3314.519,
2006-07,2696.624,
2006-08,2503.353,
2006-09,2795.064,
2006-10,3287.070,
2006-11,3094.231,
2006-12,2744.361,
2007-01,2455.421,
2007-02,2468.906,
2007-03,2978.798,
2007-04,2747.359,
2007-05,2580.464,
2007-06,2341.600,
2007-07,2606.657,
2007-08,2643.748,
2007-09,2884.471,
2007-10,2205.778,
2007-11,2613.265,
2007-12,2107.236,
2008-01,2548.926,
2008-02,3611.119,
2008-03,2256.249,
2008-04,2536.280,
2008-05,2757.641,
2008-06,2961.014,
2008-07,3170.423,
2008-08,3039.534,
2008-09,3029.626,
2008-10,3342.933,
2008-11,3664.022,
2008-12,2791.882,
2009-01,3605.614,
2009-02,3822.207,
2009-03,2710.935,
2009-04,2674.273,
2009-05,2438.942,
2009-06,2314.603,
2009-07,2152.953,
2009-08,2427.753,
2009-09,2105.124,
2009-10,2724.042,
2009-11,2458.394,
2009-12,2305.741,
2010-01,2740.331,
2010-02,2654.211,
2010-03,2753.165,
2010-04,2885.621,
2010-05,2787.127,
2010-06,2864.441,
2010-07,4177.095,
2010-08,3178.282,
2010-09,2684.291,
2010-10,2666.111,
2010-11,3896.567,
2010-12,3382.973,
2011-01,2977.878,
2011-02,2754.284,
2011-03,3223.571,
2011-04,3071.850,
2011-05,3541.690,
2011-06,3384.247,
2011-07,4188.090,
2011-08,3569.939,
2011-09,3694.012,
2011-10,4738.293,
2011-11,2876.865,
2011-12,4245.896,
2012-01,3217.799,
2012-02,2909.828,
2012-03,3208.020,
2012-04,3532.764,
2012-05,3733.532,
2012-06,3419.655,
2012-07,3417.389,
2012-08,4537.519,
2012-09,3013.562,
2012-10,3757.440,
2012-11,3448.358,
2012-12,3853.158,
2013-01,3791.758,
2013-02,4188.610,
2013-03,3594.116,
2013-04,3430.996,
2013-05,3342.593,
2013-06,4267.548,
2013-07,4969.902,
2013-08,4954.342,
2013-09,4201.320,
2013-10,4644.286,
2013-11,4465.594,
2013-12,4934.436,
2014-01,4356.721,
2014-02,4237.717,
2014-03,4259.260,
2014-04,4304.613,
2014-05,4459.578,
2014-06,4295.991,
2014-07,4911.998,
2014-08,4411.025,
2014-09,4104.451,
2014-10,5086.431,
2014-11,4649.310,
2014-12,5005.849,Provisional value
