"",BBK01.OEAE30H,BBK01.OEAE30H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:14,
2002-01,3.795,
2002-04,3.858,
2002-07,3.940,
2002-10,3.966,
2003-01,3.837,
2003-04,4.195,
2003-07,3.959,
2003-10,3.587,
2004-01,3.370,
2004-04,4.321,
2004-07,4.080,
2004-10,3.742,
2005-01,3.994,
2005-04,4.009,
2005-07,4.116,
2005-10,4.116,
2006-01,3.765,
2006-04,3.836,
2006-07,3.905,
2006-10,3.976,
2007-01,3.984,
2007-04,3.821,
2007-07,3.809,
2007-10,3.769,
2008-01,3.778,
2008-04,3.820,
2008-07,3.788,
2008-10,3.835,
2009-01,3.925,
2009-04,3.667,
2009-07,3.837,
2009-10,3.699,
2010-01,3.759,
2010-04,3.683,
2010-07,3.892,
2010-10,3.878,
2011-01,3.841,
2011-04,3.706,
2011-07,3.862,
2011-10,2.907,
2012-01,2.823,
2012-04,2.878,
2012-07,2.838,
2012-10,2.855,
2013-01,2.890,
2013-04,2.882,
2013-07,2.860,
2013-10,2.852,
2014-01,2.886,
2014-04,2.904,
2014-07,3.018,
