"",BBK01.OEAA23N,BBK01.OEAA23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:09,
2002-01,77.950,
2002-04,78.807,
2002-07,78.629,
2002-10,80.248,
2003-01,76.628,
2003-04,76.367,
2003-07,76.520,
2003-10,72.260,
2004-01,72.404,
2004-04,72.362,
2004-07,72.532,
2004-10,68.169,
2005-01,68.797,
2005-04,69.245,
2005-07,70.191,
2005-10,71.077,
2006-01,80.515,
2006-04,81.619,
2006-07,81.901,
2006-10,82.306,
2007-01,82.887,
2007-04,83.990,
2007-07,85.078,
2007-10,87.085,
2008-01,87.627,
2008-04,90.712,
2008-07,89.803,
2008-10,91.345,
2009-01,92.504,
2009-04,94.672,
2009-07,95.133,
2009-10,97.436,
2010-01,97.490,
2010-04,97.852,
2010-07,98.223,
2010-10,99.472,
2011-01,100.725,
2011-04,101.357,
2011-07,101.580,
2011-10,102.056,
2012-01,102.845,
2012-04,102.052,
2012-07,103.193,
2012-10,103.085,
2013-01,103.824,
2013-04,104.233,
2013-07,102.646,
2013-10,103.118,
2014-01,103.755,
2014-04,104.376,
2014-07,105.281,
