"",BBK01.OECL04S,BBK01.OECL04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:42,
2002-01,0.089,
2002-04,0.083,
2002-07,0.082,
2002-10,0.058,
2003-01,0.052,
2003-04,0.056,
2003-07,0.047,
2003-10,0.046,
2004-01,0.039,
2004-04,0.034,
2004-07,0.032,
2004-10,0.041,
2005-01,0.109,
2005-04,0.109,
2005-07,0.097,
2005-10,0.098,
2006-01,0.098,
2006-04,0.101,
2006-07,0.108,
2006-10,0.123,
2007-01,0.153,
2007-04,0.159,
2007-07,0.189,
2007-10,0.232,
2008-01,0.272,
2008-04,0.294,
2008-07,0.382,
2008-10,0.403,
2009-01,0.377,
2009-04,0.350,
2009-07,0.261,
2009-10,0.199,
2010-01,0.141,
2010-04,0.122,
2010-07,0.099,
2010-10,0.082,
2011-01,0.080,
2011-04,0.079,
2011-07,0.059,
2011-10,0.098,
2012-01,0.109,
2012-04,0.103,
2012-07,0.101,
2012-10,0.058,
2013-01,0.038,
2013-04,0.037,
2013-07,0.031,
2013-10,0.028,
2014-01,0.028,
2014-04,0.036,
2014-07,0.033,
