"",BBK01.OEAH59K,BBK01.OEAH59K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:50,
2002-01,5.109,
2002-04,4.923,
2002-07,4.867,
2002-10,4.949,
2003-01,4.762,
2003-04,4.562,
2003-07,4.326,
2003-10,4.220,
2004-01,3.987,
2004-04,3.902,
2004-07,3.875,
2004-10,4.064,
2005-01,4.055,
2005-04,3.976,
2005-07,3.994,
2005-10,4.185,
2006-01,4.100,
2006-04,4.197,
2006-07,4.309,
2006-10,4.555,
2007-01,4.755,
2007-04,4.951,
2007-07,4.756,
2007-10,5.366,
2008-01,5.625,
2008-04,6.058,
2008-07,6.549,
2008-10,7.130,
2009-01,5.243,
2009-04,4.725,
2009-07,4.103,
2009-10,3.699,
2010-01,3.432,
2010-04,3.483,
2010-07,3.225,
2010-10,3.433,
2011-01,3.170,
2011-04,3.270,
2011-07,3.380,
2011-10,3.600,
2012-01,3.347,
2012-04,2.977,
2012-07,2.745,
2012-10,2.455,
2013-01,2.306,
2013-04,2.367,
2013-07,2.224,
2013-10,2.194,
2014-01,2.114,
2014-04,2.113,
2014-07,1.982,
