"",BBK01.TUB630,BBK01.TUB630_FLAGS
"",Liabilities to other euro area residents denominated in euro / General government / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:11,
2002-01,114,
2002-02,57,
2002-03,62,
2002-04,59,
2002-05,47,
2002-06,63,
2002-07,83,
2002-08,42,
2002-09,47,
2002-10,63,
2002-11,67,
2002-12,43,
2003-01,37,
2003-02,78,
2003-03,47,
2003-04,68,
2003-05,69,
2003-06,94,
2003-07,48,
2003-08,48,
2003-09,100,
2003-10,76,
2003-11,62,
2003-12,58,
2004-01,36,
2004-02,286,
2004-03,370,
2004-04,50,
2004-05,39,
2004-06,94,
2004-07,41,
2004-08,41,
2004-09,56,
2004-10,51,
2004-11,280,
2004-12,36,
2005-01,49,
2005-02,33,
2005-03,38,
2005-04,41,
2005-05,32,
2005-06,35,
2005-07,32,
2005-08,32,
2005-09,70,
2005-10,48,
2005-11,40,
2005-12,28,
2006-01,40,
2006-02,29,
2006-03,34,
2006-04,58,
2006-05,36,
2006-06,85,
2006-07,44,
2006-08,55,
2006-09,100,
2006-10,32,
2006-11,50,
2006-12,36,
2007-01,57,
2007-02,84,
2007-03,53,
2007-04,60,
2007-05,73,
2007-06,64,
2007-07,54,
2007-08,47,
2007-09,54,
2007-10,149,
2007-11,61,
2007-12,43,
2008-01,49,
2008-02,56,
2008-03,50,
2008-04,33,
2008-05,26,
2008-06,30,
2008-07,24,
2008-08,27,
2008-09,100,
2008-10,247,
2008-11,112,
2008-12,170,
2009-01,2164,
2009-02,11943,
2009-03,15417,
2009-04,30158,
2009-05,36249,
2009-06,23350,
2009-07,23508,
2009-08,23538,
2009-09,23634,
2009-10,23587,
2009-11,15637,
2009-12,9987,
2010-01,3743,
2010-02,345,
2010-03,241,
2010-04,224,
2010-05,305,
2010-06,127,
2010-07,506,
2010-08,579,
2010-09,630,
2010-10,170,
2010-11,245,
2010-12,173,
2011-01,198,
2011-02,184,
2011-03,150,
2011-04,406,
2011-05,182,
2011-06,192,
2011-07,189,
2011-08,230,
2011-09,289,
2011-10,403,
2011-11,794,
2011-12,745,
2012-01,734,
2012-02,754,
2012-03,759,
2012-04,697,
2012-05,643,
2012-06,1194,
2012-07,7330,
2012-08,5490,
2012-09,7044,
2012-10,5069,
2012-11,11394,
2012-12,11870,
2013-01,2296,
2013-02,548,
2013-03,501,
2013-04,949,
2013-05,573,
2013-06,530,
2013-07,510,
2013-08,504,
2013-09,1936,
2013-10,1420,
2013-11,976,
2013-12,2013,
2014-01,1027,
2014-02,1152,
2014-03,1089,
2014-04,1386,
2014-05,852,
2014-06,1162,
2014-07,818,
2014-08,748,
2014-09,1123,
2014-10,793,
2014-11,729,
2014-12,1940,
