"",BBK01.OELK04I,BBK01.OELK04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:30,
2002-01,0.222,
2002-04,0.182,
2002-07,0.177,
2002-10,0.171,
2003-01,0.146,
2003-04,0.127,
2003-07,0.108,
2003-10,0.095,
2004-01,0.086,
2004-04,0.065,
2004-07,0.066,
2004-10,0.062,
2005-01,0.056,
2005-04,0.054,
2005-07,0.055,
2005-10,0.054,
2006-01,0.056,
2006-04,0.061,
2006-07,0.057,
2006-10,0.064,
2007-01,0.038,
2007-04,0.030,
2007-07,0.032,
2007-10,0.035,
2008-01,0.041,
2008-04,0.052,
2008-07,0.109,
2008-10,0.109,
2009-01,0.093,
2009-04,0.075,
2009-07,0.060,
2009-10,0.040,
2010-01,0.032,
2010-04,0.024,
2010-07,0.022,
2010-10,0.041,
2011-01,0.044,
2011-04,0.049,
2011-07,0.038,
2011-10,0.044,
2012-01,0.039,
2012-04,0.033,
2012-07,0.027,
2012-10,0.023,
2013-01,0.020,
2013-04,0.017,
2013-07,0.017,
2013-10,0.017,
2014-01,0.017,
2014-04,0.017,
2014-07,0.017,
