"",BBK01.BJ9180,BBK01.BJ9180_FLAGS
"",National accounts - total general government expenditure (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:56,
1970,138670,
1971,159650,
1972,179020,
1973,202260,
1974,235610,
1975,268830,
1976,288300,
1977,305030,
1978,318910,
1979,342790,
1980,369710,
1981,392300,
1982,408610,
1983,417950,
1984,431510,
1985,444800,
1986,461420,
1987,479730,
1988,500690,
1989,517420,
1990,570260,
1991,727190,"Break, comment"
1992,797576,
1993,836152,
1994,875807,
1995,1036158,
1996,939770,
1997,943003,
1998,960192,
1999,981507,
2000,944533,
2001,1021051,
2002,1042650,
2003,1059128,
2004,1049782,
2005,1059389,
2006,1065651,
2007,1072990,
2008,1112309,
2009,1165304,
2010,1215270,
2011,1202749,Provisional value
2012,1215231,Provisional value
2013,1245262,Provisional value
2014,1280023,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
