"",BBK01.CEFB05,BBK01.CEFB05_FLAGS
"",long-term debt securities  debtor: Total                              creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:36,
1999-01,1.7,
1999-04,2.0,
1999-07,2.4,
1999-10,2.7,
2000-01,2.9,
2000-04,3.4,
2000-07,3.5,
2000-10,3.8,
2001-01,4.0,
2001-04,4.2,
2001-07,4.4,
2001-10,4.4,
2002-01,4.4,
2002-04,4.4,
2002-07,4.4,
2002-10,4.4,
2003-01,4.1,
2003-04,3.9,
2003-07,3.7,
2003-10,3.5,
2004-01,3.5,
2004-04,3.5,
2004-07,3.4,
2004-10,3.4,
2005-01,3.4,
2005-04,3.4,
2005-07,3.4,
2005-10,3.3,
2006-01,11.0,
2006-04,9.6,
2006-07,10.3,
2006-10,10.5,
2007-01,8.6,
2007-04,8.1,
2007-07,7.7,
2007-10,8.1,
2008-01,7.5,
2008-04,6.5,
2008-07,6.3,
2008-10,5.9,
2009-01,5.7,
2009-04,20.1,
2009-07,20.2,
2009-10,29.9,
2010-01,22.9,
2010-04,41.8,
2010-07,38.7,
2010-10,27.4,
2011-01,21.4,
2011-04,22.6,
2011-07,8.4,
2011-10,8.1,
2012-01,6.8,
2012-04,7.0,
2012-07,8.7,
2012-10,11.2,
2013-01,12.2,
2013-04,12.5,
2013-07,12.5,
2013-10,12.6,
2014-01,12.5,
2014-04,12.5,
2014-07,12.6,
