"",BBK01.OEBB19Q,BBK01.OEBB19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:21,
2002-01,0.325,
2002-04,0.315,
2002-07,0.311,
2002-10,0.298,
2003-01,0.276,
2003-04,0.279,
2003-07,0.270,
2003-10,0.265,
2004-01,0.257,
2004-04,0.255,
2004-07,0.252,
2004-10,0.237,
2005-01,0.249,
2005-04,0.253,
2005-07,0.263,
2005-10,0.258,
2006-01,0.256,
2006-04,0.263,
2006-07,0.261,
2006-10,0.269,
2007-01,0.263,
2007-04,0.256,
2007-07,0.255,
2007-10,0.248,
2008-01,0.238,
2008-04,0.235,
2008-07,0.234,
2008-10,0.231,
2009-01,0.241,
2009-04,0.240,
2009-07,0.247,
2009-10,0.237,
2010-01,0.229,
2010-04,0.244,
2010-07,0.262,
2010-10,0.258,
2011-01,0.256,
2011-04,0.254,
2011-07,0.269,
2011-10,0.263,
2012-01,0.269,
2012-04,0.257,
2012-07,0.246,
2012-10,0.241,
2013-01,0.242,
2013-04,0.236,
2013-07,0.227,
2013-10,0.223,
2014-01,0.212,
2014-04,0.211,
2014-07,0.203,
