"",BBDE1.Q.DE.Y.LCB1.A2N200000.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.A2N200000.A.L.I08.A_FLAGS
"",Index of gross wages and salaries / Germany / Private sector (B-N) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:13,
1996-01,76.5,
1996-04,77.0,
1996-07,77.9,
1996-10,79.6,
1997-01,79.6,
1997-04,77.7,
1997-07,78.6,
1997-10,79.5,
1998-01,79.3,
1998-04,79.8,
1998-07,80.1,
1998-10,80.3,
1999-01,81.0,
1999-04,81.8,
1999-07,82.2,
1999-10,82.0,
2000-01,82.4,
2000-04,84.1,
2000-07,84.7,
2000-10,85.3,
2001-01,85.3,
2001-04,86.3,
2001-07,86.9,
2001-10,87.5,
2002-01,87.9,
2002-04,87.6,
2002-07,89.0,
2002-10,89.8,
2003-01,90.5,
2003-04,90.7,
2003-07,90.8,
2003-10,91.0,
2004-01,92.0,
2004-04,91.8,
2004-07,91.3,
2004-10,91.7,
2005-01,93.6,
2005-04,92.1,
2005-07,93.4,
2005-10,93.7,
2006-01,94.0,
2006-04,95.0,
2006-07,95.6,
2006-10,95.5,
2007-01,95.2,
2007-04,97.0,
2007-07,97.5,
2007-10,98.6,
2008-01,99.8,
2008-04,97.8,
2008-07,99.6,
2008-10,102.8,
2009-01,102.3,
2009-04,101.7,
2009-07,102.1,
2009-10,101.5,
2010-01,102.8,
2010-04,102.0,
2010-07,102.6,
2010-10,102.9,
2011-01,104.6,
2011-04,105.8,
2011-07,105.9,
2011-10,106.9,
2012-01,107.1,
2012-04,110.1,
2012-07,110.1,
2012-10,110.8,
2013-01,110.7,
2013-04,110.7,
2013-07,110.5,
2013-10,112.0,
2014-01,111.9,
2014-04,112.7,
2014-07,112.6,
