"",BBK01.OEBJ04N,BBK01.OEBJ04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:25,
2002-01,6.967,
2002-04,7.090,
2002-07,7.106,
2002-10,8.146,
2003-01,7.783,
2003-04,8.234,
2003-07,6.031,
2003-10,6.194,
2004-01,5.713,
2004-04,6.063,
2004-07,6.963,
2004-10,7.347,
2005-01,6.676,
2005-04,7.696,
2005-07,7.874,
2005-10,7.806,
2006-01,8.491,
2006-04,7.906,
2006-07,8.838,
2006-10,8.913,
2007-01,8.716,
2007-04,8.843,
2007-07,11.164,
2007-10,13.552,
2008-01,12.453,
2008-04,11.954,
2008-07,13.176,
2008-10,18.352,
2009-01,15.599,
2009-04,12.229,
2009-07,18.003,
2009-10,14.283,
2010-01,11.003,
2010-04,19.883,
2010-07,13.761,
2010-10,17.248,
2011-01,13.681,
2011-04,18.751,
2011-07,16.820,
2011-10,21.402,
2012-01,12.906,
2012-04,21.346,
2012-07,20.764,
2012-10,12.655,
2013-01,11.935,
2013-04,10.712,
2013-07,9.898,
2013-10,9.890,
2014-01,10.603,
2014-04,10.415,
2014-07,9.805,
