"",BBK01.OEAC43Q,BBK01.OEAC43Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:09,
2002-01,0.463,
2002-04,0.451,
2002-07,0.438,
2002-10,0.398,
2003-01,0.401,
2003-04,0.437,
2003-07,0.442,
2003-10,0.433,
2004-01,0.449,
2004-04,0.269,
2004-07,0.268,
2004-10,0.257,
2005-01,0.253,
2005-04,0.247,
2005-07,0.246,
2005-10,0.231,
2006-01,0.223,
2006-04,0.222,
2006-07,0.211,
2006-10,0.235,
2007-01,0.217,
2007-04,0.217,
2007-07,0.211,
2007-10,0.216,
2008-01,0.229,
2008-04,0.230,
2008-07,0.238,
2008-10,0.225,
2009-01,0.219,
2009-04,0.248,
2009-07,0.258,
2009-10,0.250,
2010-01,0.356,
2010-04,0.351,
2010-07,0.339,
2010-10,0.307,
2011-01,0.323,
2011-04,0.297,
2011-07,0.251,
2011-10,0.242,
2012-01,0.241,
2012-04,0.253,
2012-07,0.248,
2012-10,0.275,
2013-01,0.285,
2013-04,0.300,
2013-07,0.266,
2013-10,0.286,
2014-01,0.296,
2014-04,0.307,
2014-07,0.303,
